estado;divisao;ano;data;mandante;visitante;placar;gols_mandante;gols_visitante;resultado;peso_importancia
sao-paulo;5;2021;2021-09-26;Rio Branco-SP;Itapirense;3-2;3;2;H;1.0
sao-paulo;5;2021;2021-09-26;Flamengo-SP;Colorado Caieiras;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-26;Barcelona Esportivo;Guarulhos;4-5;4;5;A;1.0
sao-paulo;5;2021;2021-09-26;Paulista;Grêmio Mauaense;5-0;5;0;H;1.0
sao-paulo;5;2021;2021-09-26;União Mogi;ECUS;1-2;1;2;A;1.0
sao-paulo;5;2021;2021-09-26;Mauá;Atlético Mogi;2-1;2;1;H;1.0
sao-paulo;5;2021;2021-09-26;União Suzano;Manthiqueira;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-29;Colorado Caieiras;União Suzano;0-2;0;2;A;1.0
sao-paulo;5;2021;2021-09-29;União Mogi;Flamengo-SP;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-09-29;Catanduva;Rio Branco-SP;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-09-29;Inter de Bebedouro;Matonense;0-1;0;1;A;1.0
sao-paulo;5;2021;2021-09-29;Grêmio São-Carlense;Mauá;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-09-29;Grêmio Prudente;Paulista;2-0;2;0;H;1.0
sao-paulo;5;2021;2021-09-29;Taquaritinga;Independente de Limeira;1-1;1;1;D;1.0
sao-paulo;5;2021;2021-09-29;VOCEM;XV de Jaú;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-10-02;União Suzano;Colorado Caieiras;2-0;2;0;H;1.0
sao-paulo;5;2021;2021-10-02;Flamengo-SP;União Mogi;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-10-02;Rio Branco-SP;Catanduva;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-02;XV de Jaú;VOCEM;0-1;0;1;A;1.0
sao-paulo;5;2021;2021-10-02;Mauá;Grêmio São-Carlense;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-02;Paulista;Grêmio Prudente;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-10-02;Independente de Limeira;Taquaritinga;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-03;Matonense;Inter de Bebedouro;3-0;3;0;H;1.0
sao-paulo;5;2021;2021-10-06;Grêmio Prudente;Flamengo-SP;3-1;3;1;H;1.0
sao-paulo;5;2021;2021-10-06;Grêmio São-Carlense;Matonense;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-06;VOCEM;Rio Branco-SP;3-0;3;0;H;1.0
sao-paulo;5;2021;2021-10-06;Independente de Limeira;União Suzano;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-09;União Suzano;Independente de Limeira;1-1;1;1;D;1.0
sao-paulo;5;2021;2021-10-10;Matonense;Grêmio São-Carlense;2-1;2;1;H;1.0
sao-paulo;5;2021;2021-10-10;Rio Branco-SP;VOCEM;1-1;1;1;D;1.0
sao-paulo;5;2021;2021-10-10;Flamengo-SP;Grêmio Prudente;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-17;VOCEM;Matonense;0-0;0;0;D;1.0
sao-paulo;5;2021;2021-10-17;Grêmio Prudente;União Suzano;2-3;2;3;A;1.0
sao-paulo;5;2021;2021-10-23;União Suzano;Grêmio Prudente;4-0;4;0;H;1.0
sao-paulo;5;2021;2021-10-24;Matonense;VOCEM;1-0;1;0;H;1.0
sao-paulo;5;2021;2021-10-27;Matonense;União Suzano;1-2;1;2;A;1.0
sao-paulo;5;2021;2021-10-30;União Suzano;Matonense;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-10-17;Itapirense;Amparo;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-17;Brasilis;Guarulhos;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-17;União Suzano;União Mogi;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-10-17;Atlético Mogi;Manthiqueira;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-10-17;Barcelona Esportivo;Jabaquara;0-3;0;3;A;1.0
sao-paulo;5;2020;2020-10-17;Osasco FC;Grêmio Mauaense;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-10-17;Francana;Inter de Bebedouro;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-10-18;Araçatuba;América-SP;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-10-18;Independente de Limeira;União Barbarense;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-18;Bandeirante;Tanabi;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-10-18;Grêmio Prudente;VOCEM;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-10-18;Matonense;Grêmio São-Carlense;1-2;1;2;A;1.0
sao-paulo;5;2020;2020-10-18;Elosport Capão Bonito;Itararé;0-3;0;3;A;1.0
sao-paulo;5;2020;2020-10-18;Tupã;Osvaldo Cruz;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-20;Flamengo-SP;Itapirense;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-20;Amparo;Brasilis;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-10-20;União Mogi;Atlético Mogi;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-10-20;Mauá;Barcelona Esportivo;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-20;Jabaquara;Osasco FC;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-10-20;São José;União Suzano;4-1;4;1;H;1.0
sao-paulo;5;2020;2020-10-21;Andradina EC;Bandeirante;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-10-21;Tanabi;Araçatuba;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-10-21;Assisense;Tupã;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-21;XV de Jaú;Matonense;3-1;3;1;H;1.0
sao-paulo;5;2020;2020-10-21;Grêmio São-Carlense;Francana;1-2;1;2;A;1.0
sao-paulo;5;2020;2020-10-21;Rio Branco-SP;Independente de Limeira;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-10-21;União Barbarense;Elosport Capão Bonito;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-21;Osvaldo Cruz;Grêmio Prudente;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-10-24;América-SP;Tanabi;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-10-24;Inter de Bebedouro;Grêmio São-Carlense;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-10-24;Brasilis;Flamengo-SP;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-10-24;Manthiqueira;União Mogi;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-24;Atlético Mogi;São José;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-10-24;Grêmio Mauaense;Jabaquara;1-2;1;2;A;1.0
sao-paulo;5;2020;2020-10-24;Osasco FC;Mauá;0-4;0;4;A;1.0
sao-paulo;5;2020;2020-10-24;Francana;XV de Jaú;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-10-25;Araçatuba;Andradina EC;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-25;VOCEM;Osvaldo Cruz;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-25;Guarulhos;Amparo;0-3;0;3;A;1.0
sao-paulo;5;2020;2020-10-25;Grêmio Prudente;Assisense;7-2;7;2;H;1.0
sao-paulo;5;2020;2020-10-25;Itararé;União Barbarense;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-10-25;Elosport Capão Bonito;Rio Branco-SP;0-4;0;4;A;1.0
sao-paulo;5;2020;2020-10-27;XV de Jaú;Inter de Bebedouro;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-27;Matonense;Francana;2-4;2;4;A;1.0
sao-paulo;5;2020;2020-10-27;Itapirense;Brasilis;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-10-27;União Suzano;Atlético Mogi;3-2;3;2;H;1.0
sao-paulo;5;2020;2020-10-27;Mauá;Grêmio Mauaense;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-27;Barcelona Esportivo;Osasco FC;0-7;0;7;A;1.0
sao-paulo;5;2020;2020-10-28;Andradina EC;América-SP;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-10-28;Assisense;VOCEM;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-10-28;Rio Branco-SP;Itararé;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-28;Independente de Limeira;Elosport Capão Bonito;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-10-28;Flamengo-SP;Guarulhos;2-4;2;4;A;1.0
sao-paulo;5;2020;2020-10-28;Bandeirante;Araçatuba;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-10-28;Tupã;Grêmio Prudente;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-10-28;São José;Manthiqueira;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-10-31;América-SP;Bandeirante;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-10-31;Tanabi;Andradina EC;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-10-31;Inter de Bebedouro;Matonense;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-10-31;Amparo;Flamengo-SP;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-10-31;Manthiqueira;União Suzano;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-10-31;Grêmio Mauaense;Barcelona Esportivo;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-10-31;Osvaldo Cruz;Assisense;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-01;VOCEM;Tupã;6-1;6;1;H;1.0
sao-paulo;5;2020;2020-11-01;Grêmio São-Carlense;XV de Jaú;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-01;União Barbarense;Rio Branco-SP;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-11-01;Guarulhos;Itapirense;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-01;Jabaquara;Mauá;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-01;Itararé;Independente de Limeira;2-3;2;3;A;1.0
sao-paulo;5;2020;2020-11-01;União Mogi;São José;0-4;0;4;A;1.0
sao-paulo;5;2020;2020-11-03;América-SP;Araçatuba;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-03;Tanabi;Bandeirante;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-11-03;Inter de Bebedouro;Francana;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-11-03;Grêmio Mauaense;Osasco FC;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-04;VOCEM;Grêmio Prudente;2-2;2;2;D;1.0
sao-paulo;5;2020;2020-11-04;Grêmio São-Carlense;Matonense;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-04;Itararé;Elosport Capão Bonito;4-2;4;2;H;1.0
sao-paulo;5;2020;2020-11-04;União Barbarense;Independente de Limeira;4-1;4;1;H;1.0
sao-paulo;5;2020;2020-11-04;Guarulhos;Brasilis;3-1;3;1;H;1.0
sao-paulo;5;2020;2020-11-04;Amparo;Itapirense;1-3;1;3;A;1.0
sao-paulo;5;2020;2020-11-04;Manthiqueira;Atlético Mogi;5-0;5;0;H;1.0
sao-paulo;5;2020;2020-11-04;União Mogi;União Suzano;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-11-04;Jabaquara;Barcelona Esportivo;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-04;Osvaldo Cruz;Tupã;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-07;Matonense;XV de Jaú;0-0;0;0;D;1.0
sao-paulo;5;2020;2020-11-07;Brasilis;Amparo;4-2;4;2;H;1.0
sao-paulo;5;2020;2020-11-07;Itapirense;Flamengo-SP;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-11-07;Atlético Mogi;União Mogi;0-9;0;9;A;1.0
sao-paulo;5;2020;2020-11-07;União Suzano;São José;1-2;1;2;A;1.0
sao-paulo;5;2020;2020-11-07;Francana;Grêmio São-Carlense;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-08;Araçatuba;Tanabi;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-11-08;Independente de Limeira;Rio Branco-SP;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-11-08;Bandeirante;Andradina EC;3-0;3;0;H;1.0
sao-paulo;5;2020;2020-11-08;Grêmio Prudente;Osvaldo Cruz;2-0;2;0;H;1.0
sao-paulo;5;2020;2020-11-08;Elosport Capão Bonito;União Barbarense;1-2;1;2;A;1.0
sao-paulo;5;2020;2020-11-08;Osasco FC;Jabaquara;1-0;1;0;H;1.0
sao-paulo;5;2020;2020-11-08;Barcelona Esportivo;Mauá;0-2;0;2;A;1.0
sao-paulo;5;2020;2020-11-08;Tupã;Assisense;2-1;2;1;H;1.0
sao-paulo;5;2020;2020-11-10;XV de Jaú;Francana;0-1;0;1;A;1.0
sao-paulo;5;2020;2020-11-10;Grêmio São-Carlense;Inter de Bebedouro;1-1;1;1;D;1.0
sao-paulo;5;2020;2020-11-10;Flamengo-SP;Brasilis;1-0;1;0;H;1.0
