nome_simplificado;nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
OLÍMPICA DE ITABAIANA;Associação Olímpica de Itabaiana;Paraíba;PB;Itabaiana;-7.33167;-35.3317;1938-01-01T00:00:00Z;2506905
ATLÉTICO ACREANO;Atlético Acreano;Acre;AC;Rio Branco;-9.974;-67.8076;1952-04-17T00:00:00Z;5107206
CUIABÁ;Cuiabá Esporte Clube;Mato Grosso;MT;Cuiabá;-15.601;-56.0974;2001-01-01T00:00:00Z;5103403
CENTRO SPORTIVO CAPELENSE;Centro Sportivo Capelense;Alagoas;AL;Capela;-9.41504;-36.0826;1945-01-01T00:00:00Z;2701704
CENTRO DE ENSINO UNIFICADO DE BRASÍLIA;Centro de Ensino Unificado de Brasília Esporte Clube;Distrito Federal;DF;Brasília;-15.7795;-47.9297;1968-01-01T00:00:00Z;5300108
ATLÉTICO CEARENSE;Futebol Clube Atlético Cearense;Ceará;CE;Fortaleza;-3.71664;-38.5423;1982-01-01T00:00:00Z;2304400
MINEIROS;Mineiros Esporte Clube;Goiás;GO;Mineiros;-17.5654;-52.5537;1977-01-01T00:00:00Z;5213103
MISTO;Misto Esporte Clube;Mato Grosso do Sul;MS;Três Lagoas;-20.7849;-51.7007;1992-01-01T00:00:00Z;5008305
LA CORUÑA BRASIL;Deportivo La Coruña Brasil Futebol Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1994-11-15T00:00:00Z;3304557
MUNIZ FREIRE;Muniz Freire Futebol Clube;Espírito Santo;ES;Muniz Freire;-20.4652;-41.4156;1930-05-01T00:00:00Z;3203700
MURICI;Murici Futebol Clube;Alagoas;AL;Murici;-9.30682;-35.9428;1974-09-07T00:00:00Z;2705507
FLAMENGO PARAIBANO;Esporte Clube Flamengo Paraibano;Paraíba;PB;João Pessoa;-7.11509;-34.8641;2008-01-01T00:00:00Z;2507507
NACIONAL FAST;Nacional Fast Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1930-07-08T00:00:00Z;1302603
CLIPER;Atlético Cliper Clube;Amazonas;AM;Manaus;-3.11866;-60.0212;1952-06-01T00:00:00Z;1302603
ATLÉTICO RIO NEGRO AMAZONAS;Atlético Rio Negro Clube (Amazonas);Amazonas;AM;Manaus;-3.11866;-60.0212;1913-01-01T00:00:00Z;1302603
AUTO AMAZONAS;Auto Esporte Clube (Amazonas);Amazonas;AM;Manaus;-3.11866;-60.0212;;1302603
GRÊMIO BAGÉ;Grêmio Esportivo Bagé;Rio Grande do Sul;RS;Bagé;-31.3297;-54.0999;1920-01-01T00:00:00Z;4301602
BLUMENAU;Blumenau Esporte Clube;Santa Catarina;SC;Blumenau;-26.9155;-49.0709;1919-01-01T00:00:00Z;4202404
BOTAFOGO;Botafogo Sport Club;Bahia;BA;Salvador;-12.9718;-38.5011;1914-01-01T00:00:00Z;2927408
BOTAFOGO;Botafogo Futebol Clube;Paraíba;PB;João Pessoa;-7.11509;-34.8641;1931-01-01T00:00:00Z;2507507
ESPÍRITO SANTO;Espírito Santo Sociedade Esportiva;Espírito Santo;ES;Colatina;-19.5493;-40.6269;1998-01-01T00:00:00Z;3201506
CACERENSE;Cacerense Esporte Clube;Mato Grosso;MT;Cáceres;-16.0764;-57.6818;1996-01-01T00:00:00Z;5102504
CACHOEIRO;Cachoeiro Futebol Clube;Espírito Santo;ES;Cachoeiro de Itapemirim;-20.8462;-41.1198;1916-01-01T00:00:00Z;3201209
CAPITAL;Capital Clube de Futebol;São Paulo;SP;Guará;-20.4302;-47.8236;2005-01-01T00:00:00Z;3517703
CATUENSE S A;Catuense Futebol S/A;Bahia;BA;Catu;-12.3513;-38.3791;1974-01-01T00:00:00Z;2907509
CAXIAS;Caxias Esporte Clube;Maranhão;MA;Caxias;-4.86505;-43.3617;1940-09-06T00:00:00Z;2103000
RIO GRANDE;Sport Club Rio Grande;Rio Grande do Sul;RS;Rio Grande;-32.0349;-52.1071;1900-01-01T00:00:00Z;4315602
SÃO PAULO ATHLETIC;São Paulo Athletic Club;São Paulo;SP;São Paulo;-23.5329;-46.6395;1888-01-01T00:00:00Z;3550308
CSE;Clube Sociedade Esportiva;Alagoas;AL;Palmeira dos Índios;-9.40568;-36.6328;1947-06-21T00:00:00Z;2706307
OESTE;Oeste Futebol Clube;São Paulo;SP;Itápolis;-21.5942;-48.8149;1921-01-01T00:00:00Z;3522703
FERRO CARRIL;Esporte Clube Ferro Carril;Rio Grande do Sul;RS;Uruguaiana;-29.7614;-57.0853;1916-01-01T00:00:00Z;4322400
PINHEIROS PARANÁ;Esporte Clube Pinheiros (Paraná);Paraná;PR;Curitiba;-25.4195;-49.2646;1914-01-01T00:00:00Z;4106902
SANTO ANDRÉ;Esporte Clube Santo André;São Paulo;SP;Santo André;-23.6737;-46.5432;1967-01-01T00:00:00Z;3547809
TREZE;Treze Futebol Clube;Paraíba;PB;Campina Grande;-7.22196;-35.8731;1925-01-01T00:00:00Z;2504009
NACIONAL LTDA;Nacional Esporte Clube Ltda;Minas Gerais;MG;Esmeraldas;-19.764;-44.3065;2008-01-01T00:00:00Z;3124104
SOCIAL;Social Futebol Clube;Minas Gerais;MG;Coronel Fabriciano;-19.5179;-42.6276;1944-01-01T00:00:00Z;3119401
PAULISTA;Paulista Futebol Clube;São Paulo;SP;Jundiaí;-23.1852;-46.8974;1909-01-01T00:00:00Z;3525904
ITUANO;Ituano Futebol Clube;São Paulo;SP;Itu;-23.2544;-47.2927;1947-01-01T00:00:00Z;3523909
ITUMBIARA;Itumbiara Esporte Clube;Goiás;GO;Itumbiara;-18.4093;-49.2158;1970-01-01T00:00:00Z;5211503
CAXIAS DO SUL;Sociedade Esportiva e Recreativa Caxias do Sul;Rio Grande do Sul;RS;Caxias do Sul;-29.1629;-51.1792;1935-01-01T00:00:00Z;4305108
JV LIDERAL;JV Lideral Futebol Clube;Maranhão;MA;Imperatriz;-5.51847;-47.4777;2005-01-01T00:00:00Z;2105302
ARAGUAIA ATLÉTICO;Araguaia Atlético Clube;Mato Grosso;MT;Alto Araguaia;-17.3153;-53.2181;1978-01-01T00:00:00Z;5100300
CERÂMICA ATLÉTICO;Cerâmica Atlético Clube;Rio Grande do Sul;RS;Gravataí;-29.9413;-50.9869;1950-01-01T00:00:00Z;4309209
AMÉRICA;América Futebol Clube;Minas Gerais;MG;Teófilo Otoni;-17.8595;-41.5087;1936-01-01T00:00:00Z;3168606
SÃO CARLOS;São Carlos Futebol Clube;São Paulo;SP;São Carlos;-22.0174;-47.886;2004-01-01T00:00:00Z;3548906
MARÍLIA ATLÉTICO;Marília Atlético Clube;São Paulo;SP;Marília;-22.2171;-49.9501;1942-01-01T00:00:00Z;3529005
BRASIL;Sport Club Brasil;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1912-01-01T00:00:00Z;3304557
ÁGUIA DE MARABÁ;Águia de Marabá Futebol Clube;Pará;PA;Marabá;-5.38075;-49.1327;1982-01-01T00:00:00Z;1504208
