estado;divisao;ano;data;mandante;mandante_estado;visitante;visitante_estado;placar;resultado;peso_importancia;gols_mandante;gols_visitante;estado_slug
rio-de-janeiro;1;2023;2023-02-02;VASCO;rio-de-janeiro;RESENDE;rio-de-janeiro;5-0;H;2.0;5;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-02;VOLTA REDONDA;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-05;BANGU;rio-de-janeiro;MADUREIRA;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-05;BOAVISTA;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;0-4;A;2.0;0;4;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-05;FLUMINENSE;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;3-0;H;2.0;3;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-06;PORTUGUESA;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;3-1;H;2.0;3;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-07;NOVA IGUAÇU;rio-de-janeiro;VASCO;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-11;NOVA IGUAÇU;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-11;MADUREIRA;rio-de-janeiro;RESENDE;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-11;BOTAFOGO;rio-de-janeiro;BANGU;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-12;AUDAX RIO;rio-de-janeiro;BOAVISTA;rio-de-janeiro;3-2;H;2.0;3;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-12;FLUMINENSE;rio-de-janeiro;VASCO;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-15;VOLTA REDONDA;rio-de-janeiro;FLAMENGO;rio-de-janeiro;1-3;A;2.0;1;3;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-16;VASCO;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;2-0;H;2.0;2;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-18;RESENDE;rio-de-janeiro;FLAMENGO;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-25;NOVA IGUAÇU;rio-de-janeiro;RESENDE;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-25;FLUMINENSE;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;3-0;H;2.0;3;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-25;BOTAFOGO;rio-de-janeiro;FLAMENGO;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-26;BANGU;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;0-4;A;2.0;0;4;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-27;AUDAX RIO;rio-de-janeiro;MADUREIRA;rio-de-janeiro;3-1;H;2.0;3;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-02-27;VASCO;rio-de-janeiro;BOAVISTA;rio-de-janeiro;4-1;H;2.0;4;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-03;PORTUGUESA;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;1-1;D;2.0;1;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-04;MADUREIRA;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;0-6;A;2.0;0;6;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-04;BANGU;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;0-5;A;2.0;0;5;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-04;BOAVISTA;rio-de-janeiro;NOVA IGUAÇU;rio-de-janeiro;1-0;H;2.0;1;0;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-05;RESENDE;rio-de-janeiro;BOTAFOGO;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-05;FLAMENGO;rio-de-janeiro;VASCO;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-08;FLAMENGO;rio-de-janeiro;FLUMINENSE;rio-de-janeiro;1-2;A;2.0;1;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-08;BOTAFOGO;rio-de-janeiro;PORTUGUESA;rio-de-janeiro;0-1;A;2.0;0;1;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-08;RESENDE;rio-de-janeiro;AUDAX RIO;rio-de-janeiro;0-2;A;2.0;0;2;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-08;BOAVISTA;rio-de-janeiro;VOLTA REDONDA;rio-de-janeiro;3-3;D;2.0;3;3;rio_de_janeiro
rio-de-janeiro;1;2023;2023-03-09;NOVA IGUAÇU;rio-de-janeiro;MADUREIRA;rio-de-janeiro;4-0;H;2.0;4;0;rio_de_janeiro
