clube_uf;pagerank_score
ATLÉTICO TUBARÃO/SC;0.0006494567783291573
BARAÚNAS/RN;0.0006480460452694764
CEILANDENSE/SE;0.0006468937849944849
CARAVAGGIO/SC;0.0006442875346306429
AMÉRICA/SP;0.0006424518277050002
LARANJA MECÂNICA/PR;0.0006422991253890376
ATLÉTICO PARAENSE/PA;0.0006416082364099395
IMPÉRIO SERRANO/RJ;0.0006414915558089634
CORUMBAENSE/MS;0.0006401706220119463
CARIRI/CE;0.0006400203179933849
PARATY/RJ;0.000639467904475303
PENAROL/AM;0.0006393438377027482
7 DE ABRIL/RJ;0.0006390295761774073
NITEROIENSE/RJ;0.0006375783994635365
RIO VERDE/GO;0.0006371088641518817
AZURIZ/PR;0.0006348675627159216
MANTHIQUEIRA/SP;0.0006329349327377249
COXIM/MS;0.0006317816055741923
MAGUARY/PE;0.0006292762874330084
TUPY/GO;0.0006287729677108383
ESMAC/PA;0.0006281604775764222
ARAXÁ/MG;0.0006272904049443865
PSTC/PR;0.0006245721806910113
OEIRENSE/PI;0.0006236671362232865
ARAÇATUBA/SP;0.0006235725276698591
BAGÉ/RS;0.0006219717972698848
GUARANY DE SOBRAL/CE;0.0006216594562719394
ANGRA DOS REIS/RJ;0.0006210692639238658
GUAPORÉ/RO;0.0006198673148599729
GRAPIÚNA/BA;0.0006190882626858856
AUTO ESPORTE/PB;0.0006149078587197251
GUARANI DE JUAZEIRO/CE;0.0006134855867168832
CAPIXABA/ES;0.0006133516006735423
UNIÃO PARAENSE/PA;0.0006118995694361206
OPERÁRIO/AM;0.0006113417544721623
ITZ SPORT/MA;0.0006110757609173746
GUARANI/SC;0.0006090951796982693
SÃO FRANCISCO/AC;0.0006070298559778725
BARCELONA/RO;0.0006064821333107077
CAPITAL/DF;0.0006061602868951723
GUARANY/AL;0.0006057845795382837
CSP/PB;0.0006036474537863774
APAFUT/RS;0.000602933869216819
METROPOLITANO/SC;0.0006005111455505711
TOLEDO/PR;0.000598834221971388
MOSSORÓ/RN;0.000598692839486512
LEÃO DO VALE - CIANORTE/PR;0.0005977526601147169
OPERÁRIO/MT;0.0005973274560544864
MORRINHOS/GO;0.0005954705143163335
UNIÃO LUZIENSE/MG;0.0005950255598116755
BOA/MG;0.0005941302726054246
MARACAJU/MS;0.000593661579826561
QFC/RN;0.0005908535129920309
DECISÃO/PE;0.0005904347087947776
POTYGUAR SERIDOENSE/RN;0.0005894717247982417
AE PARACATU/MG;0.0005885814201504959
ESPORTIVO/RS;0.0005873486205699477
ARAGUACEMA/TO;0.0005870844688110646
BATAGUASSU/MS;0.0005753200954685102
CR AQUIDAUANA/MS;0.0005753200954685102
SPORT SINOP/MT;0.0005748777711927324
CORISABBÁ/PI;0.0005739041825494446
JUVENTUS/RJ;0.0005730088216906777
POCONÉ/MT;0.0005719411524295349
INDEPENDENTE/SE;0.0005713255798204152
MARUINENSE/SE;0.0005697415808302271
ATLÉTICO CENTRAL/SE;0.0005683074985289094
GUARAÍ/TO;0.0005666121351829797
SOBRADINHO/DF;0.0005655339960926171
PASSO FUNDO/RS;0.0005649204502966563
APARECIDA/GO;0.0005645223721200366
FLAMENGO/PI;0.0005636537067429606
BRASÍLIA/DF;0.0005634090818202276
PLANALTINA/DF;0.000562982624982014
CONTAGEM/MG;0.0005623353933596419
SANTOS/PA;0.0005617256966227149
TIRADENTES/CE;0.0005594935865695711
ITUMBIARA/GO;0.0005593286487280575
SANTA CRUZ/RJ;0.000558168231598911
SINOP/MT;0.0005579194542099804
GALÍCIA/BA;0.000557575491282402
CAÇADOR/SC;0.0005573431902787189
BLUMENAU/SC;0.0005563441400599977
CENTRO LIMOEIRENSE/PE;0.0005555316154112563
YPIRANGA/PE;0.0005529338364058255
RIO SÃO PAULO/RJ;0.0005487301302431619
FORÇA E LUZ/RN;0.000548240674601032
JACOBINA/BA;0.0005474541222582558
PENEDENSE/AL;0.0005473347653768944
AÇÃO/MT;0.0005471127775481176
CARUARU CITY/PE;0.0005470804800993604
DESPORTIVA GUARABIRA/PB;0.0005449475677981816
AD CARMÓPOLIS/SE;0.0005449195887939323
IPOJUCA/PE;0.0005419613671195834
CRIXÁS/GO;0.0005416798390804632
FONTE NOVA/PA;0.0005404403092499614
ITUPIRANGA/PA;0.0005400080934956342
PACATUBA/CE;0.0005386137694552962
SÃO CARLOS/SP;0.0005382967913684873
PIAUÍ/PI;0.0005380626603200067
AMÉRICA DE PEDRINHAS/SE;0.000535434001120254
ACADEMIA/MT;0.0005352212376288982
RIO NEGRO/AM;0.0005338703054307528
CARAJÁS/PA;0.0005332953453435791
CANINDÉ/SE;0.0005325036510544118
GUARULHOS/SP;0.0005311188296103894
APUCARANA SPORTS/PR;0.0005308185314886394
TAPAJÓS/PA;0.0005301744235910169
TUPAN/MA;0.0005300740908889602
CERRADO/GO;0.0005299079828086537
NÁUTICO/RR;0.000529096245810791
AVENIDA/RS;0.0005287350255114302
ESPORTE/PB;0.0005286578888045111
AFOGADOS/PE;0.0005262190386170297
ARUKO/PR;0.000525154087021047
CAAC BRASIL/RJ;0.0005229616222650064
BOQUINHENSE/SE;0.0005224610533493206
AMÉRICA/PE;0.0005205453682756891
ATLÉTICO CARIOCA/RJ;0.0005191251005488547
BATEL/PR;0.0005184751856560744
ITARARÉ/SP;0.0005181755182478555
TUPÃ/SP;0.0005180945343390525
ATLHETIC/MG;0.0005179128460161436
GUARANY DE BAGÉ/RS;0.0005170356264480685
ECUS/SP;0.0005169612162328258
GAVIÃO KYIKATEJÊ/PA;0.0005149027790263638
CÁCERES/MT;0.0005146730281769013
NOVOPERÁRIO/MS;0.0005121858801223812
DESPORTIVO ALIANÇA/AL;0.0005118492759785367
CERES/RJ;0.0005103349044798987
SANTA MARIA/DF;0.0005101388748700358
JARAGUÁ/GO;0.0005099058141843805
COMERCIAL/PI;0.0005087257067017724
IGREJINHA/RS;0.0005086484535795806
ATLÉTICO CATARINENSE/SC;0.0005084701150013839
INTER DE MINAS/MG;0.0005082430481757229
SÃO PAULO/AP;0.0005064897862318973
PRUDENTÓPOLIS/PR;0.0005060785276592331
SAPUCAIENSE/RS;0.0005038206691226081
JAGUARÉ/ES;0.000502803756448916
ARARUAMA/RJ;0.0005024783924653478
AMPARO/SP;0.0005012162169815177
PRINCESA DO SOLIMÕES/AM;0.0005001921217673445
PRIMAVERA/MT;0.0004988249749427781
URUAÇU/GO;0.0004981343489227614
FF SPORT/AL;0.0004977170918536404
PORTUGUESA/AP;0.000497397863053914
CONCORDIA ATLÉTICO CLUBE/SC;0.0004971081408424314
BOM JESUS/GO;0.0004968863844333097
PETRÓPOLIS/RJ;0.0004956841098882732
GENUS/RO;0.0004952642951213158
VILHENENSE/RO;0.0004948554785313107
NACIONAL UBERABA/MG;0.0004948539122028225
POÇOS DE CALDAS/MG;0.0004944159541208552
VERA CRUZ/RJ;0.0004937832670754205
PORTO VELHO/RO;0.0004917195344471703
CRISTAL/AP;0.0004909625058287967
FLUMINENSE DE JOINVILLE/SC;0.0004888272933875932
QUIXADÁ/CE;0.0004886428355120225
QUEIMADENSE/PB;0.0004872348656342209
CRATEÚS/CE;0.00048682087610134545
BATATAIS/SP;0.0004865856045556549
DESPORTIVA ARACAJU/SE;0.0004862624696525792
TIGRES DO BRASIL/RJ;0.00048014987662624027
UNAÍ/MG;0.0004786391965864679
SETE DE SETEMBRO/PE;0.0004785314690699589
PINHEIROS/ES;0.00047729415468709176
ATLÉTICO PATROCINENSE/MG;0.0004763585538825714
BARÉ/RR;0.00047540336145319843
SPARTA/TO;0.00047322819313555097
CHAPADINHA/MA;0.00047192969846711114
GRÊMIO PAGUE MENOS/CE;0.0004705269382622281
AT. ITAPEMIRIM/ES;0.0004669583693415973
ARAUCÁRIA/PR;0.0004665143989230062
BARRA MANSA/RJ;0.0004664504777346845
VERÊ/PR;0.0004660567766128289
VIANA/MA;0.0004657897692404928
JAGUAR/PE;0.0004642068369806918
ATLÉTICO RORAIMA/RR;0.0004636703757755677
BOCA JÚNIOR/SE;0.0004633576871370203
UNIÃO CENTRAL/RJ;0.00046272438137136924
UNIRB/BA;0.0004617283113293785
SÃO JOSÉ/AP;0.00046126846885535203
PEDREIRA/PA;0.0004595598506121107
ALVORADA/AM;0.0004589930112033425
SOCORRENSE/SE;0.0004583947893848458
MAGEENSE/RJ;0.0004578887620298416
LUMINENSE/MA;0.0004570681711648549
ROLÂNDIA/PR;0.00045693023183106035
TIROL/CE;0.00045409789299970444
PICUIENSE/PB;0.00045318314716950674
SANTANA/AP;0.000449533134872993
BOSTON CITY BRASIL/MG;0.00044941586040465995
CLIPER/AM;0.0004481074438848332
SPORT BELÉM/PA;0.0004476307414781872
RIOPARDENSE/RS;0.0004473328018227197
VISÃO CELESTE/RN;0.0004470002061552617
MAZAGÃO/AP;0.0004437850724643528
PRÓSPERA/SC;0.0004420290573081716
PARAENSE/PA;0.0004420154645509765
AMADENSE/SE;0.0004419997359405974
UNIÃO ATLÉTICO CLUBE/TO;0.00044181513350508234
NOVO HORIZONTE/RS;0.00043912035636781794
GRÊMIO MARINGÁ/PR;0.00043730412245321685
GLÓRIA/RS;0.00043526098534724805
GALO MARINGÁ/PR;0.0004345457296706963
NOVA CONQUISTA/TO;0.00043262907126873117
GARIBALDI/RS;0.00043056743050292104
GUARANY/CE;0.0004284234141918371
VILA RICA/PA;0.0004263357876077115
SPORT ATIBAIA/SP;0.000424623299617712
SANTARRITENSE/MG;0.0004229388691945621
ASSISENSE/SP;0.00042158412545710057
PORTUGUESA/MS;0.0004212071766171733
OSVALDO CRUZ/SP;0.0004192058098708804
JACOBINENSE/BA;0.0004185133340322963
RIO GRANDE/RN;0.00041549946677920454
ARAGUAIA/MT;0.00041545347587635827
