clube;estado;cidade;lat;lon;ibge;wins;draws;losses
PARANAVAÍ;parana;Paranavaí;-23.0816;-52.4617;4118402.0;36;15;17
COMERCIAL;sao-paulo;Ribeirão Preto;-21.1699;-47.8099;3543402.0;36;45;43
AÇÃO;mato-grosso;Santo Antônio de Leverger;-15.8656;-56.0767;5107802.0;36;42;78
JUVENTUS JARAGUÁ;santa-catarina;Jaraguá do Sul;-26.4851;-49.0713;4208906.0;36;41;49
GOIATUBA;goias;Goiatuba;-18.0105;-49.3658;5209101.0;36;26;30
SÃO GONÇALO;rio-de-janeiro;São Gonçalo;-22.8268;-43.0634;3304904.0;35;30;36
MAUÁ;sao-paulo;Mauá;-23.6678;-46.4614;3529401.0;35;30;23
ZUMBI;alagoas;União dos Palmares;-9.15921;-36.0223;2709301.0;35;10;23
CASTANHAL;para;Castanhal;-1.29797;-47.9167;1502400.0;35;32;30
SANTA CATARINA;santa-catarina;Rio do Sul;-27.2156;-49.643;4214805.0;35;28;8
GRAMADENSE;rio-grande-do-sul;Santa Maria;-29.6868;-53.8149;4316907.0;34;9;20
MURICI;alagoas;Murici;-9.30682;-35.9428;2705507.0;34;32;44
NAÇÃO;santa-catarina;Joinville;-26.3045;-48.8487;4209102.0;34;42;59
BANDEIRANTE;sao-paulo;Birigui;-21.291;-50.3432;3506508.0;34;28;36
NACIONAL;amazonas;Manaus;-3.11866;-60.0212;1302603.0;34;28;23
BOA ESPORTE;minas-gerais;Varginha;-21.5556;-45.4364;3170701.0;34;34;52
IPORÁ;goias;Iporá;-16.4398;-51.118;5210208.0;33;34;59
ITABUNA;bahia;Itabuna;-14.7876;-39.2781;2914802.0;33;28;17
VOCEM;sao-paulo;Assis;-22.6622;-50.4181;3504008.0;33;34;18
CRAC;goias;Catalão;-18.1658;-47.9461;5205108.0;33;43;38
GAÚCHO;rio-grande-do-sul;Passo Fundo;-28.2576;-52.4091;4314100.0;33;15;13
GUARANY;sergipe;Porto da Folha;-9.91626;-37.2842;2805604.0;33;19;14
UNI SOUZA;rio-de-janeiro;Rio de Janeiro;-22.8669;-43.3458;3304557.0;33;16;14
BARRA DA TIJUCA;rio-de-janeiro;Teresópolis;-22.4165;-42.9752;3305802.0;32;23;12
DOM BOSCO;mato-grosso;Cuiabá;-15.601;-56.0974;5103403.0;32;24;62
MACAÉ;rio-de-janeiro;Macaé;-22.3768;-41.7848;3302403.0;32;21;75
RIO GRANDE;rio-grande-do-sul;Rio Grande;-32.0349;-52.1071;4315602.0;32;19;41
ANAPOLINA;goias;Anápolis;-16.3281;-48.953;5201108.0;32;25;21
BONSUCESSO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;32;29;29
GAS;roraima;Boa Vista;2.8233;-60.675;1400100.0;32;10;10
CARAPEBUS;rio-de-janeiro;Carapebus;-22.1821;-41.663;3300936.0;32;12;36
GOYTACAZ;rio-de-janeiro;Campos dos Goytacazes;-21.7622;-41.3181;3301009.0;31;16;28
UNIÃO BARBARENSE;sao-paulo;Mogi das Cruzes;-23.5208;-46.1854;3530607.0;31;18;22
FALCON;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;31;27;31
FRANCANA;sao-paulo;Franca;-20.5352;-47.4039;3516200.0;31;31;20
SERRA MACAENSE;rio-de-janeiro;Macaé;-22.3768;-41.7848;3302403.0;31;27;29
SERTÃOZINHO;sao-paulo;Sertãozinho;-21.1316;-47.9875;3551702.0;31;40;48
PENAPOLENSE;sao-paulo;Penápolis;-21.4148;-50.0769;3537305.0;31;36;40
INTER DE BEBEDOURO;sao-paulo;Caraguatatuba;-23.6125;-45.4125;3510500.0;31;22;30
PASSO FUNDO;rio-grande-do-sul;Passo Fundo;-28.2576;-52.4091;4314100.0;30;10;20
ESTANCIANO;sergipe;Estância;-11.2659;-37.4484;2802106.0;30;12;30
FRIBURGUENSE;rio-de-janeiro;Nova Friburgo;-22.2932;-42.5377;3303401.0;30;28;60
BARRETOS;sao-paulo;Barretos;-20.5531;-48.5698;3505500.0;30;33;35
NAVIRAIENSE;mato-grosso-do-sul;Naviraí;-23.0618;-54.1995;5005707.0;30;19;15
TUPYNAMBÁS;minas-gerais;Juiz de Fora;-21.7595;-43.3398;3136702.0;30;37;49
MANTHIQUEIRA;sao-paulo;Guaratinguetá;-22.8075;-45.1938;3518404.0;30;11;38
GUARANI;minas-gerais;Divinópolis;-20.1446;-44.8912;3122306.0;30;15;25
NACIONAL;paraiba;Cabedelo;-6.98731;-34.8284;2503209.0;29;19;28
ESTRELA DO NORTE;espirito-santo;Cachoeiro de Itapemirim;-20.8462;-41.1198;3201209.0;29;21;56
INTERPORTO;tocantins;Porto Nacional;-10.7027;-48.408;1718204.0;29;23;21
ATLÉTICO;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;29;27;38
REAL BRASÍLIA;distrito-federal;Brasília;-15.7795;-47.9297;5300108.0;29;19;32
GAZIN PORTO VELHO;rondonia;Porto Velho;-8.76077;-63.8999;1100205.0;29;16;21
SERC;mato-grosso-do-sul;Chapadão do Sul;-18.7836;-52.6178;5002951.0;29;12;34
PATRIOTAS;parana;Curitiba;-25.4195;-49.2646;4106902.0;29;15;17
SALGUEIRO;pernambuco;Salgueiro;-8.07373;-39.1247;2612208.0;29;23;22
NACIONAL ATL. MURIAÉ;minas-gerais;Muriaé;-21.13;-42.3693;3143906.0;29;43;32
ITAPIRENSE;sao-paulo;Itapira;-22.4357;-46.8224;3522604.0;29;33;34
AZURIZ FUTEBOL;parana;Pato Branco;-26.2292;-52.6706;4118501.0;28;25;31
VITÓRIA DAS TABOCAS;pernambuco;Vitória de Santo Antão;-8.12819;-35.2976;2616407.0;28;15;24
INHUMAS;goias;Inhumas;-16.3611;-49.5001;5210000.0;28;15;25
FREI PAULISTANO;sergipe;Frei Paulo;-10.5513;-37.5279;2802304.0;28;19;47
HORIZONTE;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;28;21;30
ATLÉTICO GLORIENSE;sergipe;Lagarto;-10.9136;-37.6689;2803500.0;28;18;25
IVINHEMA;mato-grosso-do-sul;Ivinhema;-22.3046;-53.8184;5004700.0;28;11;25
LEAO DO VALE - CIANORTE;parana;Cianorte;-23.6599;-52.6054;4105508.0;28;20;16
CAMETÁ;para;Cametá;-2.24295;-49.4979;1502103.0;28;13;25
GUARANI V. AIRES;rio-grande-do-sul;Cruz Alta;-28.645;-53.6048;4306106.0;28;8;5
CA PATROCINENSE;minas-gerais;Patrocínio;-18.9379;-46.9934;3148103.0;28;29;61
BLUMENAU;santa-catarina;Blumenau;-26.9155;-49.0709;4202404.0;28;14;20
INDEPENDENTE DE LIMEIRA;sao-paulo;Limeira;-22.566;-47.397;3526902.0;28;22;37
SANTOS;amapa;Macapá;0.034934;-51.0694;1600303.0;27;18;21
IAPE;maranhao;São Luís;-2.5307;-44.3068;2111300.0;27;12;19
MONSOON;rio-grande-do-sul;Capão da Canoa;-29.75;-50.0167;4304630.0;27;24;17
TANABI;sao-paulo;Tanabi;-20.6228;-49.6563;3553401.0;27;12;21
