nome_clube;estado;uf;cidade;latitude;longitude;inception;codigo_ibge
Atlético Clube Juventus;Mato Grosso;MT;Rio Branco;-15.2483;-58.1259;1966-03-01T00:00:00Z;5107206
Mirassol Futebol Clube;São Paulo;SP;Mirassol;-20.8169;-49.5206;1925-01-01T00:00:00Z;3530300
Esporte Clube Noroeste;São Paulo;SP;Bauru;-22.3246;-49.0871;1910-01-01T00:00:00Z;3506003
Rio Claro Futebol Clube;Rio de Janeiro;RJ;Rio Claro;-22.72;-44.1419;1909-01-01T00:00:00Z;3304409
ADAP/Galo Maringá Futebol Clube;Paraíba;PB;Mari;-7.05942;-35.318;2006-01-01T00:00:00Z;2509107
Esporte Clube XV de Novembro;São Paulo;SP;Piracicaba;-22.7338;-47.6476;1913-01-01T00:00:00Z;3538709
Boavista Sport Club;Rio de Janeiro;RJ;Saquarema;-22.9292;-42.5099;1961-01-01T00:00:00Z;3305505
Salgueiro Atlético Clube;Pernambuco;PE;Salgueiro;-8.07373;-39.1247;1972-05-23T00:00:00Z;2612208
Campo Grande Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1940-01-01T00:00:00Z;3304557
Grêmio Esportivo Brasil;Rio Grande do Sul;RS;Pelotas;-31.7649;-52.3371;1911-09-07T00:00:00Z;4314407
Paysandu Sport Club;Pará;PA;Belém;-1.4554;-48.4898;1914-01-01T00:00:00Z;1501402
Vila Nova Futebol Clube;Goiás;GO;Goiânia;-16.6864;-49.2643;1943-01-01T00:00:00Z;5208707
Goiânia Esporte Clube;Goiás;GO;Goiânia;-16.6864;-49.2643;1938-01-01T00:00:00Z;5208707
Vitória Futebol Clube;Espírito Santo;ES;Vitória;-20.3155;-40.3128;1912-01-01T00:00:00Z;3205309
Madureira Esporte Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.9129;-43.2003;1914-01-01T00:00:00Z;3304557
Sport Club Corinthians Alagoano;Alagoas;AL;Maceió;-9.66599;-35.735;1991-01-01T00:00:00Z;2704302
Londrina Esporte Clube;Paraná;PR;Londrina;-23.304;-51.1691;1956-01-01T00:00:00Z;4113700
Rio Branco Esporte Clube;São Paulo;SP;Americana;-22.7374;-47.3331;1913-01-01T00:00:00Z;3501608
Guarany Futebol Clube;Rio Grande do Sul;RS;Bagé;-31.3297;-54.0999;1907-01-01T00:00:00Z;4301602
Sport Club Internacional;São Paulo;SP;São Paulo;-23.5329;-46.6395;1899-01-01T00:00:00Z;3550308
Olaria Atlético Clube;Rio de Janeiro;RJ;Rio de Janeiro;-22.842143012;-43.26699613;1915-01-01T00:00:00Z;3304557
Joinville Esporte Clube;Santa Catarina;SC;Joinville;-26.3045;-48.8487;1976-01-29T00:00:00Z;4209102
Palestra Itália Futebol Clube;Paraná;PR;Curitiba;-25.4195;-49.2646;1921-01-01T00:00:00Z;4106902
Grêmio Esportivo Sãocarlense;São Paulo;SP;São Carlos;-22.0174;-47.886;1976-01-01T00:00:00Z;3548906
Clube Atlético Cristal;Amapá;AP;Macapá;0.034934;-51.0694;1969-11-15T00:00:00Z;1600303
Alagoinhas Atlético Clube;Bahia;BA;Alagoinhas;-12.1335;-38.4208;1970-01-01T00:00:00Z;2900702
