clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
OSASCO AUDAX;sao_paulo;-23.5325;-46.7925;Osasco;Estádio Municipal Prefeito José Liberatti;22;31;45;98
CORURIPE;alagoas;-10.1253;-36.1753;Coruripe;Estádio Municipal Gerson Amaral;37;30;31;98
SERTÃOZINHO;sao_paulo;-21.1333;-47.9833;Sertãozinho;Estádio Municipal Frederico Dalmaso;26;34;38;98
UNIVASSOURAS ARTSUL;rio_de_janeiro;-22.755;-43.453;Nova Iguaçu;Estádio Nivaldo Pereira;31;35;31;97
UNIÃO SUZANO;sao_paulo;-23.5389;-46.3111;Suzano;Estádio Francisco Marques Figueira;41;24;32;97
PORTUGUESA SANTISTA;sao_paulo;-23.9608;-46.3333;Santos;Estádio Ulrico Mursa;28;35;34;97
BETIM FUTEBOL;minas_gerais;-19.9733;-44.2014;Betim;Arena Vera Cruz;45;28;23;96
VILAVELHENSE;espirito_santo;-20.3297;-40.2925;Vila Velha;Estádio Kleber Andrade;34;18;44;96
MANAUARA;amazonas;-3.119;-60.0217;Manaus;Estádio Carlos Zamith;50;31;15;96
CASTANHAL;para;-1.2947;-47.9175;Castanhal;Estádio Maximino Porpino Filho;35;32;29;96
JUVENTUS;sao_paulo;-23.5505;-46.6333;São Paulo;Estádio Conde Rodolfo Crespi;29;35;32;96
TAUBATÉ;sao_paulo;-23.0272;-45.555;Taubaté;Estádio Joaquim de Morais Filho;28;29;39;96
XV DE JAÚ;sao_paulo;-22.2975;-48.5586;Jaú;Estádio Zezinho Magalhães;46;24;26;96
FRIBURGUENSE;rio_de_janeiro;-22.2823;-42.5325;Nova Friburgo;Estádio Eduardo Guinle;25;24;47;96
GUARANY DE SOBRAL;ceara;-3.6828;-40.3528;Sobral;Estádio Plácido Aderaldo Castelo;32;27;37;96
GALVEZ;acre;-9.9749;-67.8243;Rio Branco;Estádio Arena da Floresta;41;23;31;95
ATLÉTICO TUBARÃO;santa_catarina;-28.475;-49.0056;Tubarão;Estádio Domingos Silveira Gonzales;24;23;48;95
PRINCESA;amazonas;-3.2964;-60.6214;Manacapuru;Estádio Gilberto Mestrinho;32;40;22;94
MACAÉ;rio_de_janeiro;-22.3756;-41.7833;Macaé;Estádio Cláudio Moacyr de Azevedo;25;16;53;94
CAPIXABA;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Kleber Andrade;38;25;31;94
BARRETOS;sao_paulo;-20.5583;-48.5686;Barretos;Estádio Municipal Antônio Gomes Martins;28;32;33;93
PAULISTA;sao_paulo;-23.1857;-46.8916;Jundiaí;Estádio Municipal Dr. Jayme Cintra;37;24;32;93
GRÊMIO ANÁPOLIS;goias;-16.3286;-48.9533;Anápolis;Estádio Jonas Duarte;23;32;37;92
CAPITAL CF;distrito_federal;-15.7939;-47.8828;Brasília;Estádio JK;43;28;20;91
BANDEIRANTE;sao_paulo;-21.2867;-50.3411;Birigui;Estádio Municipal Pedro Marin Berbel;31;26;34;91
RIO BRANCO;parana;-25.5167;-48.5167;Paranaguá;Estádio Nelson Medrado Dias;24;23;44;91
CATANDUVA;sao_paulo;-21.1358;-48.9753;Catanduva;Estádio Silvio Salles;40;27;23;90
FREI PAULISTANO;sergipe;-10.5556;-37.5333;Frei Paulo;Estádio Municipal Jairton Menezes de Mendonça;28;17;45;90
RIO GRANDE;rio_grande_do_sul;-32.035;-52.0986;Rio Grande;Estádio Arthur Lawson;32;19;39;90
RIO PRETO;sao_paulo;-20.8122;-49.3772;São José do Rio Preto;Estádio Anísio Haddad;25;24;40;89
ÁGUIA NEGRA;mato_grosso_do_sul;-21.8036;-54.5453;Rio Brilhante;Estádio Iliê Vidal;29;27;33;89
ITAPIRENSE;sao_paulo;-22.4358;-46.8217;Itapira;Estádio Coronel Francisco Vieira;29;30;30;89
TAQUARITINGA;sao_paulo;-21.4333;-48.5083;Taquaritinga;Estádio Adail Nunes da Silva;44;22;22;88
TUPYNAMBÁS;minas_gerais;-21.7645;-43.3496;Juiz de Fora;Estádio Municipal Radialista Mário Helênio;25;27;36;88
CRATO;ceara;-7.2333;-39.4167;Crato;Estádio Municipal Governador Virgílio Távora;19;20;49;88
MAUÁ;sao_paulo;-23.6672;-46.4614;Mauá;Estádio Municipal Pedro Benedetti;35;30;23;88
FALCON;sergipe;-10.9083;-37.0333;Barra dos Coqueiros;Arena Batistão;31;27;30;88
CARLOS RENAUX;santa_catarina;-27.1006;-48.9135;Brusque;Estádio Augusto Bauer;33;27;27;87
IPATINGA;minas_gerais;-19.4672;-42.5375;Ipatinga;Estádio Municipal Epaminondas Mendes Brito;29;23;35;87
INDEPENDENTE DE LIMEIRA;sao_paulo;-22.5603;-47.4033;Limeira;Estádio Comendador Agostinho Prada;28;22;37;87
SÃO JOSEENSE;parana;-25.5353;-49.2075;São José dos Pinhais;Estádio do Pinhão;27;26;33;86
NACIONAL;parana;-23.3086;-51.3786;Rolândia;Estádio Erich George;25;21;40;86
MATONENSE;sao_paulo;-21.6036;-48.3667;Matão;Estádio Municipal Dr. Hudson Buck Ferreira;23;18;45;86
VILLA NOVA;minas_gerais;-19.9858;-43.8486;Nova Lima;Estádio Municipal Castor Cifuentes;26;20;39;85
BONSUCESSO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;Estádio Leônidas da Silva;31;27;27;85
NACIONAL;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;34;28;23;85
SPORT CAPIXABA;espirito_santo;-20.2417;-40.3083;Serra;Estádio Robertão;18;13;54;85
VOCEM;sao_paulo;-22.6617;-50.4136;Assis;Estádio Antônio Viana da Silva;32;34;18;84
