clube;estado;lat;lon;cidade;estadio;wins;draws;losses;total_games
CAMPO NOVO;mato_grosso;-13.6736;-57.8864;Campo Novo do Parecis;Estádio Ari Tomazelli;6;1;12;19
BOTAFOGO;bahia;-12.9714;-38.5014;Salvador;Estádio de Pituaçu;8;5;6;19
BETIS;minas_gerais;-20.5167;-43.7028;Ouro Branco;Estádio Municipal José Mapa Filho;1;4;13;18
SÃO GABRIEL;rio_grande_do_sul;-30.3333;-54.3167;São Gabriel;Estádio Sílvio de Faria Corrêa;0;3;15;18
ITABERAÍ;goias;-16.0186;-49.8153;Itaberaí;Estádio Rio das Pedras;7;3;8;18
BRASILEIRINHO;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;;1;1;16;18
BRAZLÂNDIA;distrito_federal;-15.6736;-48.2036;Brazlândia;Estádio Chapadinha;5;3;10;18
SSA;bahia;-12.9714;-38.5014;Salvador;Estádio de Pituaçu;5;8;5;18
DUQUE CAXIENSE;rio_de_janeiro;-22.7833;-43.3167;Duque de Caxias;Estádio Marrentão;3;3;12;18
TORRES BRASIL;pernambuco;-8.05428;-34.8813;Recife;Estádio Ademir Cunha;7;2;9;18
UNIÃO FREDERIQUENSE;rio_grande_do_sul;-27.3553;-53.3964;Frederico Westphalen;Arena União;3;3;11;17
JUVENTUS DE MINAS NOVAS;minas_gerais;-17.2183;-42.5875;Minas Novas;Estádio Municipal Dr. Mário de Oliveira;3;3;11;17
ATLÉTICO PIAUIENSE;piaui;-5.0892;-42.8016;Teresina;Estádio Governador Alberto Tavares Silva;8;6;3;17
QFC;rio_grande_do_norte;-5.79448;-35.211;Natal;Arena das Dunas;12;4;1;17
BOTAFOGO;goias;-16.7689;-47.6125;Cristalina;Estádio Municipal Salvador Amado;3;2;12;17
AGRIMAQ JEQUIAENSE;alagoas;-10.1233;-36.1356;Jequiá da Praia;Estádio Municipal José Ferreira de França;8;1;8;17
BRASIL DE FARROUPILHA;rio_grande_do_sul;-29.2286;-51.3536;Farroupilha;Estádio das Castanheiras;7;4;6;17
ALVORADA;tocantins;-12.4817;-49.1236;Alvorada;Estádio Elias Nasser;4;6;6;16
PRS;rio_grande_do_sul;-28.2628;-52.4076;Passo Fundo;Estádio Vermelhão da Serra;6;4;6;16
SER CRUZ ALTA;rio_grande_do_sul;-28.6389;-53.6067;Cruz Alta;Estádio Morro dos Ventos;6;2;8;16
PESQUEIRA;pernambuco;-8.3586;-36.6953;Pesqueira;Estádio Joaquim de Brito;3;5;8;16
PIMENTENSE;rondonia;-11.6725;-61.1936;Pimenta Bueno;Estádio Municipal Luiz Alves de Ataíde;2;4;10;16
TIANGUÁ;ceara;-3.7333;-40.9722;Tianguá;Estádio Municipal Tancredo Neves;6;3;7;16
OESTE BRASIL;parana;-24.7253;-53.7378;Toledo;Estádio 14 de Dezembro;5;2;9;16
RIVER;roraima;2.8236;-60.6753;Boa Vista;Estádio Flamarion Vasconcelos;6;2;8;16
SÃO GABRIEL;mato_grosso_do_sul;-19.3769;-54.5586;São Gabriel do Oeste;Estádio Municipal de São Gabriel do Oeste;3;3;10;16
PONTAPORANENSE;mato_grosso_do_sul;-22.5375;-55.7256;Ponta Porã;Estádio Aral Moreira;2;2;11;15
FEMAR;paraiba;-7.115;-34.8642;João Pessoa;Estádio Almeidão;4;4;7;15
ARAGUARI;minas_gerais;-18.6456;-48.1883;Araguari;Estádio Vasconcelos Montes;0;1;14;15
BELENENSE;para;-1.4558;-48.4902;Belém;Estádio Francisco Vasques;6;1;8;15
ATIBAIA;sao_paulo;-23.1156;-46.5503;Atibaia;Estádio Municipal Salvador Russani;6;3;6;15
CANAÃ;bahia;-11.3039;-41.8553;Irecê;Estádio Municipal de Irecê;2;7;6;15
FIGUEIRENSE;minas_gerais;-21.1375;-44.2619;São João del-Rei;Estádio Coronel Afonso de Moura Castro;1;5;9;15
PORTUGUESA;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;8;3;4;15
TAQUARUSSÚ;tocantins;-10.2128;-48.3606;Palmas;Estádio Nilton Santos;1;1;13;15
GRÊMIO OSASCO;sao_paulo;-23.5325;-46.7925;Osasco;Estádio Municipal Prefeito José Liberatti;3;3;9;15
ROLIM DE MOURA;rondonia;-11.7258;-61.7758;Rolim de Moura;Estádio Ângelo Cassol;3;3;8;14
CRISTAL;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;7;4;3;14
UNIÃO DE PALMAS;tocantins;-10.2128;-48.3603;Palmas;Estádio Nilton Santos;3;1;10;14
ARSENAL;tocantins;-6.3286;-47.4764;Tocantinópolis;Estádio João Ribeiro;1;1;12;14
CLUBE 1992;rio_grande_do_sul;-29.9514;-51.0925;Cachoeirinha;Arena Cruzeiro;0;8;6;14
TESLA;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;5;2;7;14
INDEPENDENTE DE RIO VERDE;goias;-17.7919;-50.9239;Rio Verde;Estádio Mozart Veloso do Carmo;4;2;8;14
EXPRESSINHO;maranhao;-2.5307;-44.3068;São Luís;Estádio Governador João Castelo;1;0;13;14
GRECAL;parana;-25.4583;-49.3875;Campo Largo;Estádio Atílio Gionédis;2;2;9;13
ALTAMIRA;para;-3.2028;-52.2064;Altamira;Estádio Municipal Esplanada;0;2;11;13
SETE;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;4;3;6;13
IGACI;alagoas;-9.5433;-36.6386;Igaci;Estádio Zeca Rocha;8;3;2;13
ARAGUAIA DE PALMAS;tocantins;-10.2128;-48.3606;Palmas;Estádio Nilton Santos;4;2;7;13
ATLÉTICO CERRADO;tocantins;-10.1764;-48.8714;Paraíso do Tocantins;Estádio Municipal Antônio Pereira Soares;2;2;9;13
ALIANÇA;ceara;-4.1025;-38.5028;Horizonte;Estádio Domingão;4;2;6;12
PASSOS;minas_gerais;-20.7186;-46.6103;Passos;Estádio Starling Soares;3;5;4;12
TRÊS LAGOAS;mato_grosso_do_sul;-20.7514;-51.6783;Três Lagoas;Estádio Benedito Soares da Mota;3;2;7;12
CENTRAL PARAÍSO;tocantins;-10.1764;-48.8736;Paraíso do Tocantins;Estádio Municipal Antônio Pereira Soares;4;3;5;12
INDEPENDENTE;rio_de_janeiro;-22.375;-41.785;Macaé;Estádio Cláudio Moacyr de Azevedo;6;3;3;12
POTENGI;rio_grande_do_norte;-5.79448;-35.211;Natal;Estádio Juvenal Lamartine;3;2;7;12
BARE;amapa;2.8235;-60.6758;Boa Vista;Estádio Flamarion Vasconcelos;2;1;9;12
MANCHESTER FUTEBOL;minas_gerais;-21.7644;-43.3494;Juiz de Fora;Estádio Municipal Radialista Mário Helênio;5;4;3;12
BRÉSCIA;rio_de_janeiro;-22.9068;-43.1729;Rio de Janeiro;;3;3;6;12
SANTA CRUZ;mato_grosso;-15.0756;-57.1819;Barra do Bugres;Estádio Municipal Lamartine Ribeiro de Sales;4;1;7;12
BOM JESUS;goias;-17.9256;-49.6736;Bom Jesus de Goiás;Estádio Gilmar Alves;9;2;0;11
LIBRADE;amazonas;-3.119;-60.0217;Manaus;Estádio Ismael Benigno;3;0;8;11
CAP DE UBERLÂNDIA;minas_gerais;-18.9186;-48.2772;Uberlândia;Parque do Sabiá;3;1;7;11
PANTANAL;mato_grosso_do_sul;-19.0039;-57.6019;Ladário;Estádio Vicente Fortunato;5;4;2;11
FLAMENGO DE GUANAMBI;bahia;-14.2239;-42.7811;Guanambi;Estádio 2 de Julho;4;2;5;11
UNIÃO INHUMAS;goias;-16.3658;-49.5067;Inhumas;Estádio Zico Brandão;2;1;7;10
SERRANO;pernambuco;-7.9886;-38.2986;Serra Talhada;Estádio Nildo Pereira de Menezes;0;1;9;10
LATITUDE ZERO;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;2;2;6;10
PARAÍSO;tocantins;-10.1753;-48.8756;Paraíso do Tocantins;Estádio Pereirão;1;3;6;10
ARSENAL CARIDADE;ceara;-4.2586;-39.1733;Caridade;Estádio Municipal de Caridade;1;0;9;10
RIO GRANDE;rio_grande_do_norte;-5.79448;-35.211;Natal;Estádio Juvenal Lamartine;5;2;3;10
AMERICANO;maranhao;-2.5307;-44.3068;São Luís;Estádio Nhozinho Santos;3;2;5;10
CRIXÁS;goias;-14.5467;-49.9733;Crixás;Estádio Genervino da Fonseca;6;4;0;10
CRUZEIRO;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;3;2;5;10
SABIÁ;maranhao;-4.86722;-43.3553;Caxias;Estádio Municipal Duque de Caxias;4;1;5;10
VILA REAL;ceara;-3.71722;-38.54333;Fortaleza;Estádio Presidente Vargas;3;2;5;10
ATLÉTICO;mato_grosso;-15.6014;-56.0979;Cuiabá;Arena Pantanal;1;1;8;10
TAVEIRÓPOLIS;mato_grosso_do_sul;-20.4428;-54.6464;Campo Grande;Estádio Jacques da Luz;2;0;8;10
CITY LONDON;parana;-23.3103;-51.1628;Londrina;Estádio do Café;3;5;2;10
BATAGUASSU;mato_grosso_do_sul;-21.7175;-52.4236;Bataguassu;Estádio Municipal de Bataguassu;7;2;1;10
CR AQUIDAUANA;mato_grosso_do_sul;-20.4733;-55.7833;Aquidauana;Estádio Noroeste;7;2;1;10
UNIVAP APODI;rio_grande_do_norte;-5.6625;-37.7975;Apodi;Estádio Antônio Lopes Filho;3;2;5;10
RENOVAÇÃO;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;4;3;3;10
MIRAMAR;paraiba;-6.9814;-34.8361;Cabedelo;Estádio Francisco Figueiredo de Lima;4;3;3;10
ADEC;amapa;2.5033;-50.9456;Calçoene;Estádio Municipal de Calçoene;2;1;6;9
SANTA CRUZ;acre;-9.9747;-67.8076;Rio Branco;Estádio Arena da Floresta;5;3;1;9
CANOINHAS;santa_catarina;-26.1764;-50.3939;Canoinhas;Estádio Ditão;4;0;5;9
CANÁRIO;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;2;2;5;9
LAGOA;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;2;1;6;9
NOVA ANDRADINA;mato_grosso_do_sul;-22.2386;-53.3317;Nova Andradina;Estádio Andradão;0;2;7;9
PARAÍBA DO SUL;rio_de_janeiro;-22.1583;-43.2936;Paraíba do Sul;Estádio Marcelo Crivella;3;1;5;9
ATLÉTICO BACABAL;maranhao;-4.2264;-44.7819;Bacabal;Estádio José Corrêa;3;1;4;8
BRASILIS;sao_paulo;-22.4786;-46.6353;Águas de Lindóia;Estádio Leonardo Barbieri;2;4;2;8
CALOUROS DO AR;ceara;-3.7319;-38.5267;Fortaleza;Estádio Presidente Vargas;5;0;3;8
YPIRANGA;bahia;-12.9714;-38.5014;Salvador;Estádio de Pituaçu;2;4;2;8
ÁGUIA DE CUMARU;pernambuco;-7.9861;-35.7536;Cumaru;Estádio Municipal de Cumaru;2;1;5;8
URUMAJÓ;para;-1.0167;-46.65;Augusto Corrêa;Estádio Municipal de Augusto Corrêa;3;3;2;8
7 DE SETEMBRO;mato_grosso_do_sul;-22.2206;-54.8058;Dourados;Estádio Fredis Saldanha;3;2;3;8
ELOSPORT CAPÃO BONITO;sao_paulo;-24.0033;-48.3475;Capão Bonito;Estádio Municipal Dr. José Sidney Cunha;1;2;5;8
LAGO VERDE;maranhao;-3.58333;-45.1667;Lago Verde;Estádio Municipal de Lago Verde;5;2;1;8
CHAPADA;mato_grosso;-15.4606;-55.7497;Chapada dos Guimarães;Estádio Municipal de Chapada dos Guimarães;5;2;1;8
SOCIAL;minas_gerais;-19.5167;-42.6256;Coronel Fabriciano;Estádio Louis Ensch;0;2;6;8
PAULISTANO;mato_grosso;-15.5961;-56.0969;Cuiabá;Arena Pantanal;0;0;8;8
TERESINA;piaui;-5.0892;-42.8016;Teresina;Estádio Governador Alberto Tavares Silva;3;5;0;8
PIRAPORA;minas_gerais;-17.3536;-44.9367;Pirapora;Estádio Municipal Otaviano Alvim;1;0;7;8
JUARA;mato_grosso;-11.2619;-57.5358;Juara;Estádio Municipal Danilo Pagot;3;3;1;7
CANDANGO;distrito_federal;-15.7939;-47.8828;Brasília;Estádio Nacional de Brasília Mané Garrincha;1;0;6;7
COTINGUIBA;sergipe;-10.9167;-37.05;Aracaju;Arena Batistão;1;1;5;7
ANJOS DO CÉU;ceara;-3.7319;-38.5267;Fortaleza;Estádio Presidente Vargas;1;2;4;7
FERROVIÁRIO;piaui;-5.08917;-42.80167;Teresina;Estádio Lindolfo Monteiro;3;3;1;7
INTER SÃO GOTARDO;minas_gerais;-19.3033;-46.0436;São Gotardo;Estádio Olavo Bilac;0;2;5;7
GÁLATAS;espirito_santo;-20.3155;-40.3128;Vitória;Estádio Salvador Costa;2;1;4;7
SÃO JOSÉ;amapa;0.0349;-51.0694;Macapá;Estádio Milton de Souza Corrêa;5;1;1;7
MAZAGÃO;amapa;-0.115;-51.3883;Mazagão;Estádio Milton de Souza Corrêa;4;1;1;6
PORTELA;bahia;-9.4033;-38.2206;Paulo Afonso;Estádio Álvaro de Carvalho;0;1;5;6
GUAJARÁ;rondonia;-10.7833;-65.3333;Guajará-Mirim;Estádio João Saldanha;1;1;4;6
MIRANORTE;tocantins;-9.5486;-48.3964;Miranorte;Estádio Municipal Zeca Marinho;0;1;5;6
MORENINHAS;mato_grosso_do_sul;-20.4428;-54.6461;Campo Grande;Estádio Jacques da Luz;2;1;3;6
RONDONÓPOLIS;mato_grosso;-16.4683;-54.6358;Rondonópolis;Estádio Municipal Engenheiro Luthero Lopes;2;3;1;6
ROYAL;goias;-16.7036;-49.0953;Senador Canedo;Estádio Plínio José de Souza;0;5;1;6
MARAJÓ;para;-1.4558;-48.4902;Belém;Estádio Olímpico do Pará;1;1;4;6
ORLEANS;santa_catarina;-28.3556;-49.2936;Orleans;Estádio Osmundino Matheus;0;0;6;6
ITACOATIARA;amazonas;-3.1431;-58.4442;Itacoatiara;Estádio Municipal Floro de Mendonça;2;4;0;6
MONTE CRISTO;goias;-16.6809;-49.2533;Goiânia;Estádio Olímpico Pedro Ludovico;0;0;6;6
BOLAMENSE;distrito_federal;-15.88583;-48.05389;Samambaia;Estádio Rorizão;0;0;6;6
SÃO JOSÉ DE ITAPERUNA;rio_de_janeiro;-21.2058;-41.8886;Itaperuna;Estádio Jair Bittencourt;1;1;4;6
MISTO;mato_grosso_do_sul;-20.7514;-51.6783;Três Lagoas;Estádio Madrugadão;0;2;4;6
SÃO DOMINGOS;alagoas;-9.6658;-35.7353;Maceió;Estádio Rei Pelé;0;1;5;6
CAMAÇARI;bahia;-12.6975;-38.3247;Camaçari;Estádio Armando Oliveira;0;0;5;5
CAMAÇARIENSE;bahia;-12.6975;-38.3247;Camaçari;Estádio Armando Oliveira;1;1;3;5
CANAÃ;distrito_federal;-15.7733;-47.7619;Paranoá;Estádio JK;3;0;2;5
SANTA FÉ;pernambuco;-7.9575;-36.2058;Santa Cruz do Capibaribe;Estádio Municipal Otávio Limeira Alves;0;2;3;5
GRÊMIO CARAJÁS;para;-6.0725;-49.9025;Parauapebas;Estádio Rosenão;0;0;5;5
CEART;mato_grosso_do_sul;-22.2206;-54.8058;Dourados;Estádio Fredis Saldanha;0;1;4;5
INTERNACIONAL;paraiba;-7.115;-34.8642;João Pessoa;Estádio Almeidão;1;0;4;5
TIMBAÚBA;pernambuco;-7.5069;-35.3167;Timbaúba;Estádio Municipal Ferreira Lima;1;2;2;5
BARREIROS;pernambuco;-8.8239;-35.5139;Barreiros;Estádio Luiz de Albuquerque;2;1;2;5
CHÃ GRANDE;pernambuco;-8.2486;-35.4636;Chã Grande;Estádio Ewerson Simões Barbosa;0;1;4;5
COMERCIAL DE TRÊS LAGOAS;mato_grosso_do_sul;-20.7514;-51.6783;Três Lagoas;Estádio Benedito Soares da Mota;1;2;2;5
COLINAS;tocantins;-8.0556;-48.4597;Colinas do Tocantins;Estádio Municipal Bigodão;0;0;4;4
SPORTING MARACANÃ;para;-0.7736;-47.4553;Maracanã;Estádio Fumeirão;0;2;2;4
BALSAS;maranhao;-7.5333;-46.0333;Balsas;Estádio Cássio Reis;0;1;3;4
UIRAPURU;mato_grosso;-15.601;-56.0979;Cuiabá;Arena Pantanal;1;0;3;4
LAJEADENSE;rio_grande_do_sul;-29.4673;-51.9711;Lajeado;Arena Alviazul;1;0;2;3
ARAIOSES;maranhao;-2.8917;-41.9008;Araioses;Estádio Cardosão;0;0;2;2
TEIXEIRA DE FREITAS;bahia;-17.5386;-39.7386;Teixeira de Freitas;Estádio Tomatão;0;0;2;2
