clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
TIRADENTES/para;-1.4554;-48.4898;0.000321732802101;0;2;0;0;0;0
VÊNUS/para;-1.72183;-48.8788;0.000320118854351;0;2;0;0;0;0
SANTA CRUZ/mato_grosso;-15.0702;-57.1878;0.000313845409833;1;2;0;1;1;1
CRUZEIRO/amapa;-0.0383;-51.0632;0.0003126638566557;0;2;0;0;0;0
ALVORADA/tocantins;-12.4785;-49.1249;0.0003105338886257;0;2;0;0;1;3
JC FUTEBOL CLUBE/amazonas;-3.1417;-58.4444;0.0003066961350196;0;2;0;1;2;2
NÁUAS/acre;-7.6649;-72.6504;0.0003061274901946;1;2;0;1;2;1
ANDIRÁ/acre;-9.974;-67.8076;0.0002997383345286;1;2;0;1;2;1
SUL AMÉRICA/amazonas;-3.11866;-60.0212;0.0002981495887431;0;2;0;1;2;2
RONDONIENSE/rondonia;-8.76077;-63.8999;0.0002968398346696;1;2;0;1;2;1
CDC DA AMAZÔNIA/amazonas;-2.6214;-60.9431;0.0002872616324594;0;2;0;1;2;2
CHAPADA/mato_grosso;-15.4608;-55.7497;0.0002856420890151;1;2;0;1;1;1
CAMPO NOVO/mato_grosso;-13.6744;-57.8869;0.0002849562273073;1;2;0;1;1;1
URUMAJÓ/para;-1.0217;-46.6347;0.0002783152041508;0;2;0;0;0;0
CENTRAL PARAÍSO/tocantins;-10.1753;-48.8839;0.0002774962750942;0;2;0;0;1;3
UNIÃO ATLÉTICA ARAGUAINENSE/tocantins;-7.1908;-48.2078;0.0002704332512298;0;2;0;0;0;3
ARAGUAIA DE PALMAS/tocantins;-10.1844;-48.3336;0.0002698345094645;0;2;0;0;1;3
LAGOA/amapa;0.034934;-51.0694;0.0002674966478982;0;2;0;0;0;0
INDEPENDENTE/para;-2.63609;-54.9374;0.0002671819591522;0;2;0;0;0;0
RIVER/roraima;2.82384;-60.6753;0.0002616467254693;0;2;0;1;2;2
RB DO NORTE/amazonas;-3.119;-60.0217;0.0002612912436056;0;2;0;1;2;2
JUARA/mato_grosso;-11.4194;-57.5186;0.0002610465483239;1;2;0;1;1;1
LATITUDE ZERO/amapa;-0.0383;-51.0632;0.0002589289899175;0;2;0;0;0;0
ATLÉTICO AMAZONENSE/amazonas;-3.11866;-60.0212;0.0002588701231047;0;2;0;1;2;2
