clube;estado;cidade;lat;lon;ibge;wins;draws;losses;cluster_logistico
QFC;rio-grande-do-norte;Parnamirim;-5.9158;-35.2628;2403251.0;12;4;1;8
URUAÇU;goias;Uruaçu;-14.5238;-49.1396;5221601.0;12;8;8;6
AE PARACATU;minas-gerais;Paracatu;-17.2222;-46.8744;3147006.0;12;14;10;6
ITABORAÍ PROFUTE;rio-de-janeiro;Itaboraí;-22.7565;-42.8639;3301900.0;12;3;25;0
ARAGUACEMA;tocantins;Araguaína;-7.19238;-48.2044;1702109.0;12;9;15;4
ARAGUAIA;mato-grosso;Alto Araguaia;-17.3153;-53.2181;5100300.0;12;9;37;5
SPORT ATIBAIA;sao-paulo;Atibaia;-23.1171;-46.5563;3504107.0;12;16;15;1
GUARANY;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;12;8;17;9
VILLA REAL;minas-gerais;Nova Lima;-19.9758;-43.8509;3144805.0;12;4;12;2
SETE DE JUNHO;sergipe;Tobias Barreto;-11.1798;-37.9995;2807402.0;12;11;17;11
RIO VERDE;goias;Rio Verde;-17.7923;-50.9192;5218805.0;12;10;9;6
REAL SPORT CLUB;rio-grande-do-sul;Capão da Canoa;-29.7642;-50.0282;4304630.0;12;9;23;7
BARRA MANSA;rio-de-janeiro;Barra Mansa;-22.5481;-44.1752;3300407.0;12;16;31;0
BARCELONA;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;12;12;33;0
SANTA MARIA;distrito_federal;Brasília;-16.0167;-48.0167;5300108.0;12;6;24;6
GALO MARINGÁ;parana;Maringá;-23.4205;-51.9333;4115200.0;12;8;6;3
NOVO HORIZONTE;rio-grande-do-sul;Esteio;-29.8519;-51.1825;4307708.0;12;12;37;7
CERRADO;goias;Aparecida de Goiânia;-16.8198;-49.2469;5201405.0;12;13;17;6
FLAMENGO;sergipe;Nossa Senhora das Dores;-10.4854;-37.1963;2804607.0;12;3;14;11
YPIRANGA;pernambuco;Santa Cruz do Capibaribe;-7.94802;-36.2061;2612505.0;11;17;14;8
JUVENTUS;santa_catarina;Jaraguá do Sul;-26.4851;-49.0713;4208906.0;11;19;18;7
ITARARÉ;sao-paulo;Itararé;-24.1114;-49.3331;3523206.0;11;11;8;7
IZABELENSE;para;Santa Izabel do Pará;-1.29686;-48.1606;1506500.0;11;10;11;12
RIOSTRENSE;rio-de-janeiro;Três Rios;-22.1165;-43.2185;3306008.0;11;3;17;0
ASSISENSE;sao-paulo;Assis;-22.66;-50.4183;3504008.0;11;9;22;3
GRÊMIO PAGUE MENOS;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;11;9;8;9
TUPAN;maranhao;São Luís;-2.53874;-44.2825;2111300.0;11;7;13;10
JUVENTUDE B;rio-grande-do-sul;Caxias do Sul;-29.1629;-51.1792;4305108.0;11;8;20;7
SPORT BELÉM;para;Belém;-1.4554;-48.4898;1501402.0;11;2;16;12
LEGIÃO;distrito_federal;Brasília;-15.7795;-47.9297;5300108.0;11;6;21;6
MACAPÁ;amapa;Macapá;0.034934;-51.0694;1600303.0;11;7;22;12
LEMENSE;sao-paulo;Leme;-22.1809;-47.3841;3526704.0;11;15;28;1
PICUIENSE;paraiba;Picuí;-6.50845;-36.3497;2511400.0;11;9;25;8
POCONÉ;mato-grosso;Chapada dos Guimarães;-15.4608;-55.7497;5103007.0;11;14;25;5
POMBAL;paraiba;Pombal;-6.7725;-37.8011;2512103.0;11;5;14;9
POÇOS DE CALDAS;minas-gerais;Caldas;-21.9183;-46.3843;3110301.0;11;11;21;1
PORTO VELHO;rondonia;Porto Velho;-8.76077;-63.8999;1100205.0;11;12;16;5
PORTUGUESA;mato-grosso-do-sul;Campo Grande;-20.4697;-54.6201;5002704.0;11;11;8;3
FLAMENGO;piaui;Teresina;-5.09194;-42.8034;2211001.0;11;17;35;10
PRINCESA DO SOLIMÕES;amazonas;Manacapuru;-3.29066;-60.6216;1302504.0;11;16;7;13
FORÇA JOVEM AQUIDABÃ;sergipe;Aquidabã;-10.2817;-37.0194;2800100.0;11;7;22;11
CARUARU CITY;pernambuco;Caruaru;-8.28455;-35.9699;2604106.0;11;15;17;8
PROPRIÁ;sergipe;Propriá;-10.2138;-36.8442;2805703.0;11;9;10;11
CASTELO;espirito-santo;Castelo;-20.6033;-41.2031;3201407.0;11;5;14;2
NOVOPERÁRIO;mato-grosso-do-sul;Sidrolândia;-20.9317;-54.9614;5007901.0;11;14;34;3
VIANA;maranhao;Viana;-3.2208;-45.0022;2112805.0;11;5;20;10
VISÃO CELESTE;rio-grande-do-norte;Natal;-5.79357;-35.1986;2408102.0;11;5;15;8
ADESG;acre;Senador Guiomard;-10.1497;-67.7362;1200450.0;11;9;8;5
PARAENSE;para;Marituba;-1.36002;-48.3421;1504422.0;10;7;14;12
OLÍMPIA;sao-paulo;Olímpia;-20.7366;-48.9106;3533908.0;10;18;38;3
IMBITUBA;santa-catarina;Imbituba;-28.2284;-48.6659;4207304.0;10;6;12;7
FORTE;espirito-santo;Cachoeiro de Itapemirim;-20.8462;-41.1198;3201209.0;10;9;15;2
CLIPER;amazonas;Manaus;-3.11866;-60.0212;1302603.0;10;11;18;13
IGREJINHA;rio-grande-do-sul;Igrejinha;-29.5693;-50.7919;4310108.0;10;4;6;7
SÃO PAULO;amapa;Macapá;0.034934;-51.0694;1600303.0;10;10;21;12
FONTE NOVA;para;Augusto Corrêa;-1.05109;-46.6147;1500909.0;10;12;8;12
SOCORRO;sergipe;Nossa Senhora do Socorro;-10.8468;-37.1231;2804805.0;10;12;20;11
GUARANY;rio_grande_do_sul;Cruz Alta;-28.645;-53.6048;4306106.0;10;6;10;7
SETE DE SETEMBRO;pernambuco;Garanhuns;-8.88243;-36.4966;2606002.0;10;11;19;8
SPARTAX;paraiba;João Pessoa;-7.115;-34.8631;2507507.0;10;9;16;8
SPORT LAGOA SECA;paraiba;Lucena;-6.8928;-34.8647;2508604.0;10;5;28;8
REAL;roraima;São Luiz;1.01019;-60.0419;1400605.0;10;9;10;13
NACIONAL UBERABA;minas-gerais;Uberaba;-19.7472;-47.9381;3170107.0;10;6;13;3
SÃO LUÍS;maranhao;São Luís;-2.53874;-44.2825;2111300.0;10;5;11;10
BELA VISTA;goias;Bela Vista de Goiás;-16.9733;-48.9525;5203302.0;10;10;6;6
GALÍCIA;bahia;Salvador;-12.9718;-38.5011;2927408.0;10;19;12;11
ATLÉTICO PERNAMBUCANO;pernambuco;Recife;-8.04666;-34.8771;2611606.0;10;7;20;8
SÃO MATEUS;espirito-santo;São Mateus;-18.7214;-39.8579;3204906.0;10;13;44;2
RIO NEGRO;roraima;Boa Vista;2.82384;-60.6753;1400100.0;9;7;30;13
UNAÍ;minas_gerais;Paracatu;-17.2252;-46.8711;3147006.0;9;7;13;6
JACOBINENSE;bahia;Jacobina;-11.1812;-40.5117;2917508.0;9;6;18;11
OSVALDO CRUZ;sao-paulo;Osvaldo Cruz;-21.7961;-50.8839;3534401.0;9;9;13;3
CORITIBA;sergipe;Itabaiana;-10.6853;-37.4253;2802908.0;9;6;24;11
OPERÁRIO CEOV;mato_grosso;Várzea Grande;-15.65;-56.1325;5108402.0;9;5;6;5
NOVO ESPORTE;minas-gerais;Itabirinha;-18.5131;-41.3417;3131701.0;9;5;7;2
CRUZEIRO;paraiba;Itaporanga;-7.3039;-38.1506;2507002.0;9;5;8;9
ESMAC;para;Ananindeua;-1.3653;-48.3725;1500800.0;9;10;12;12
ARACAJU;sergipe;Aracaju;-10.9091;-37.0677;2800308.0;9;5;20;11
ITZ SPORT;maranhao;Imperatriz;-5.5264;-47.4819;2105304.0;9;10;14;4
SESP SAMAMBAENSE;sergipe;Tobias Barreto;-11.1798;-37.9995;2807402.0;9;4;15;11
UNIÃO PARAENSE;para;Marituba;-1.36002;-48.3421;1504422.0;9;12;15;12
BELO JARDIM;pernambuco;Belo Jardim;-8.3313;-36.4258;2601706.0;9;7;17;8
LUMINENSE;maranhao;Paço do Lumiar;-2.5283;-44.1133;2107508.0;9;8;10;10
MONTE RORAIMA;roraima;Boa Vista;2.82384;-60.6753;1400100.0;9;6;4;13
GENUS;rondonia;Porto Velho;-8.7619;-63.9039;1100205.0;9;12;27;5
MIGUELENSE;alagoas;São Miguel dos Campos;-9.7826;-36.0886;2708600.0;9;4;33;11
TARUMÃ;amazonas;Manaus;-3.11866;-60.0212;1302603.0;9;6;16;13
UNIRB;bahia;Alagoinhas;-12.1335;-38.4208;2900702.0;9;16;8;11
GRÊMIO VALPARAÍSO;goias;Valparaíso de Goiás;-16.0683;-47.9767;5221858.0;9;2;14;6
CAMPO GRANDE;ceara;Juazeiro do Norte;-7.2372;-39.4121;2307301.0;9;5;15;9
BOM JESUS;goias;Bom Jesus de Goiás;-18.2153;-49.9419;5203500.0;9;2;0;6
SERRANENSE;minas-gerais;Betim;-19.9668;-44.2008;3106705.0;9;9;30;2
BOTAFOGO PB;paraiba;João Pessoa;-7.11509;-34.8641;2507507.0;9;7;16;8
GAVIÃO KYIKATEJÊ;para;Bom Jesus do Tocantins;-5.0424;-48.6047;1501576.0;8;10;19;12
NÁUAS;acre;Cruzeiro do Sul;-7.6649;-72.6504;4106704.0;8;5;27;5
TAPAJÓS;para;Santarém;-2.43849;-54.6996;1506807.0;8;12;24;13
UNIÃO;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;8;7;16;9
PEDRA BRANCA;santa-catarina;Palhoça;-27.6419;-48.6667;4211900.0;8;3;11;7
IGACI;alagoas;Igaci;-9.5372;-36.6321;2703106.0;8;3;2;11
FERNANDÓPOLIS;sao-paulo;Fernandópolis;-20.2806;-50.2471;3515509.0;8;8;27;3
FARROUPILHA;rio-grande-do-sul;Pelotas;-31.7649;-52.3371;4314407.0;8;12;21;7
PORTUGUESA;amapa;Macapá;-0.0383;-51.0632;1600303.0;8;3;4;12
PORTO;bahia;Porto Seguro;-16.4497;-39.0641;2925303.0;8;7;7;2
AGRIMAQ JEQUIAENSE;alagoas;Jequiá da Praia;-10.0039;-36.021;2703759.0;8;1;8;11
ARUC;distrito_federal;Cruzeiro;-15.7934;-47.9406;5300108.0;8;4;10;6
UNIÃO;mato-grosso-do-sul;Bandeirantes;-19.9275;-54.3585;5001508.0;8;7;37;3
SANTANA;amapa;Santana;-0.0583;-51.1817;1600600.0;8;8;30;12
RIO BRANCO - VN;espirito_santo;Cariacica;-20.2632;-40.4165;3201308.0;8;13;5;2
SPARTA;tocantins;Araguaína;-7.1925;-48.2078;1702109.0;8;5;9;4
SUL AMÉRICA;amazonas;Manaus;-3.11866;-60.0212;1302603.0;8;3;15;13
CAMBÉ;parana;Cambará;-23.0423;-50.0753;4103602.0;8;12;34;3
CASIMIRO DE ABREU;rio-de-janeiro;Casimiro de Abreu;-22.4812;-42.2066;3301306.0;8;4;14;0
RIOPARDENSE;rio-grande-do-sul;Rio Grande;-32.0349;-52.1071;4315602.0;8;16;31;7
CAPITAL;distrito_federal;Brasília;-15.8222;-47.9781;5300108.0;8;8;9;6
ATL. TRÊS CORAÇÕES;minas-gerais;Barbacena;-21.2214;-43.7703;3105608.0;8;4;20;0
APAFUT;rio-grande-do-sul;Caxias do Sul;-29.1678;-51.1794;4305108.0;8;12;14;7
SÃO JOSÉ;maranhao;São Luís;-2.53874;-44.2825;2111300.0;8;10;24;10
MESQUITA;rio-de-janeiro;Mesquita;-22.8028;-43.4601;3302858.0;8;4;19;0
HOPE INTERNACIONAL;parana;Curitiba;-25.4195;-49.2646;4106902.0;8;10;20;7
SÃOJOSEENSE;parana;São José dos Pinhais;-25.5347;-49.2064;4125506.0;8;6;6;7
VILHENENSE;rondonia;Vilhena;-12.7502;-60.1488;1100304.0;8;12;10;5
BOTAFOGO;bahia;Salvador;-12.9718;-38.5011;2927408.0;8;5;6;11
VILA RICA;para;Belém;-1.4554;-48.4898;1501402.0;8;6;17;12
ATLÉTICO PIAUIENSE;piaui;Teresina;-5.09194;-42.8034;2211001.0;8;6;3;10
BOSTON CITY BRASIL;minas-gerais;Varginha;-21.5556;-45.4364;3170701.0;8;8;20;1
SANTARRITENSE;minas-gerais;Santa Rita do Sapucaí;-22.2461;-45.7034;3159605.0;8;10;9;1
SANTO ÂNGELO;rio-grande-do-sul;Santo Ângelo;-28.3001;-54.2668;4317509.0;7;6;31;7
VILHENA;rondonia;Vilhena;-12.7502;-60.1488;1100304.0;7;5;15;5
ANDIRÁ;acre;Rio Branco;-9.974;-67.8076;5107206.0;7;4;26;5
CUIABÁ B;mato-grosso;Cuiabá;-15.601;-56.0974;5103403.0;7;5;11;5
BATAGUASSU;mato-grosso-do-sul;Bataguassu;-21.7144;-52.4228;5001904.0;7;2;1;3
CARAJÁS;para;Parauapebas;-6.06781;-49.9037;1505536.0;7;15;23;4
RIACHÃO;sergipe;Riachão do Dantas;-11.0729;-37.731;2805802.0;7;12;12;11
RIOVERDENSE;goias;Rio Verde;-17.7923;-50.9192;5218805.0;7;5;29;6
CACERENSE;mato-grosso;Cáceres;-16.0764;-57.6818;5102504.0;7;8;7;5
JUAZEIRO;bahia;Juazeiro;-9.41622;-40.5033;2918407.0;7;10;5;11
PORTO;santa-catarina;Porto União;-26.2451;-51.0759;4213609.0;7;7;31;7
CRISTAL;amapa;Macapá;0.034934;-51.0694;1600303.0;7;4;3;12
PANTANAL;mato-grosso-do-sul;Ladário;-19.0089;-57.5973;5005202.0;7;8;3;5
CR AQUIDAUANA;mato-grosso-do-sul;Aquidauana;-20.4714;-55.7872;5001102.0;7;2;1;3
NAVEGANTES;santa-catarina;Navegantes;-26.8943;-48.6546;4211306.0;7;1;18;7
PEDREIRA;para;Belém;-1.4554;-48.4898;1501402.0;7;11;13;12
COIMBRA-MG B;minas-gerais;Belo Horizonte;-19.9102;-43.9266;3106200.0;7;8;2;2
12 HORAS;rio-grande-do-sul;Porto Alegre;-30.0331;-51.23;4314902.0;7;6;20;7
JARAGUÁ;santa-catarina;Jaraguá do Sul;-26.4851;-49.0713;4208906.0;7;4;22;7
JACIOBÁ;alagoas;Pão de Açúcar;-9.7497;-37.4375;2706307.0;7;16;48;11
ESSUBE;minas-gerais;Uberlândia;-18.9113;-48.2622;3170206.0;7;3;10;3
UNIÃO ATLÉTICO CLUBE;tocantins;Araguaína;-7.1925;-48.2078;1702109.0;7;4;6;4
ITABERAÍ;goias;Goiás;-15.9333;-50.14;5208905.0;7;3;8;6
BRASIL DE FARROUPILHA;rio-grande-do-sul;Farroupilha;-29.2227;-51.3419;4307906.0;7;4;7;7
SERRANO;paraiba;Campina Grande;-7.22196;-35.8731;2504009.0;7;2;17;8
CAMPO NOVO;mato-grosso;Campo Novo do Parecis;-13.6744;-57.8869;5102637.0;7;1;12;5
FORMOSA;goias;Formosa;-15.5333;-47.3333;5208004.0;7;1;13;6
ASSU;rio-grande-do-norte;Assu;-5.5772;-36.9114;2400209.0;7;22;43;9
ATIBAIA;sao-paulo;Atibaia;-23.1171;-46.5563;3504107.0;7;4;11;1
GEL;espirito-santo;Serra;-20.1286;-40.3078;3205000.0;7;7;56;2
TRÊS PASSOS;rio-grande-do-sul;Três Passos;-27.4555;-53.9296;4321907.0;7;1;14;7
TORRES BRASIL;pernambuco;Camaragibe;-8.02351;-34.9782;2603454.0;7;2;9;8
TIRADENTES;piaui;Teresina;-5.0919;-42.8033;2211001.0;7;6;12;10
INDEPENDENTE;rio-de-janeiro;Macaé;-22.3708;-41.7869;3302403.0;6;3;3;0
PERILIMA;paraiba;Campina Grande;-7.22196;-35.8731;2504009.0;6;8;12;8
FERROVIÁRIO DO CABO;pernambuco;Bezerros;-8.2328;-35.796;2601904.0;6;12;18;8
PIRES DO RIO;goias;Pires do Rio;-17.3019;-48.2768;5217401.0;6;6;14;6
JC FUTEBOL CLUBE;amazonas;Itacoatiara;-3.1417;-58.4444;1301902.0;6;6;22;13
CRIXÁS;goias;Cristalina;-16.7676;-47.6131;5206206.0;6;4;0;6
CRUZEIRO;distrito_federal;Cruzeiro;-15.7934;-47.9406;5300108.0;6;5;9;6
PARNAMIRIM;rio-grande-do-norte;Parnamirim;-5.9158;-35.2628;2403251.0;6;3;35;8
MARACAJU;mato-grosso-do-sul;Maracaju;-21.6105;-55.1678;5005400.0;6;11;6;3
BACABAL;maranhao;Bacabal;-4.22447;-44.7832;2101202.0;6;6;16;10
CAIÇARA;piaui;Campo Maior;-4.8217;-42.1641;2202208.0;6;4;13;10
SER CRUZ ALTA;rio-grande-do-sul;Cruz Alta;-28.645;-53.6048;4306106.0;6;2;8;7
BELENENSE;para;Santa Izabel do Pará;-1.29686;-48.1606;1506500.0;6;1;8;12
1° DE MAIO;pernambuco;Petrolina;-9.38866;-40.5027;2611101.0;6;10;17;11
ANDRADINA;sao-paulo;Andradina;-20.8948;-51.3786;3502101.0;6;1;13;3
AMÉRICA;goias;Morrinhos;-17.7334;-49.1059;5213806.0;6;11;12;6
VÊNUS;para;Abaetetuba;-1.72183;-48.8788;1500107.0;6;5;14;12
RIVER;roraima;Boa Vista;2.82384;-60.6753;1400100.0;6;2;8;13
RIACHO CITY;distrito_federal;Riacho Fundo;-15.8821;-48.0163;5300108.0;6;1;18;6
RB DO NORTE;amazonas;Manacapuru;-3.29066;-60.6216;1302504.0;6;3;12;13
TIANGUÁ;ceara;Tianguá;-3.72965;-40.9923;2313401.0;6;3;7;9
TERRA E MAR;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;6;4;13;9
ATLÉTICO;rio-grande-do-sul;Gravataí;-29.9413;-50.9869;4309209.0;6;0;22;7
NÁUTICO;mato-grosso-do-sul;Campo Grande;-20.4697;-54.6201;5002704.0;6;2;19;3
PRS;rio-grande-do-sul;Porto Alegre;-30.0331;-51.23;4314902.0;6;4;6;7
RIACHUELO;rio-grande-do-norte;Riachuelo;-5.82156;-35.8215;2410900.0;6;1;12;8
UNIÃO FREDERIQUENSE;rio-grande-do-sul;Frederico Westphalen;-27.3586;-53.3958;4308508.0;5;5;18;7
DOCE MEL;bahia;Ipiaú;-14.1375;-39.7375;2913903.0;5;13;18;11
INTERNACIONAL B;rio-grande-do-sul;Porto Alegre;-30.0318;-51.2065;4314902.0;5;2;16;7
LAGO VERDE;maranhao;Lago Verde;-3.9572;-44.8317;2105908.0;5;2;1;10
NOVA CONQUISTA;tocantins;Paraíso do Tocantins;-10.1753;-48.8839;1716109.0;5;9;9;4
TUPY;espirito-santo;Vila Velha;-20.3417;-40.2875;3205200.0;5;8;6;2
OESTE BRASIL;parana;Maringá;-23.4205;-51.9333;4115200.0;5;2;9;3
7 DE SETEMBRO;mato-grosso-do-sul;Dourados;-22.2231;-54.812;5003702.0;5;3;4;3
SANTACRUZENSE;sao-paulo;Santa Cruz do Rio Pardo;-22.8988;-49.6354;3546405.0;5;8;22;3
SÃO JOSÉ;tocantins;Palmas;-10.1844;-48.3336;1721000.0;5;4;10;4
SABUGY;paraiba;Santa Luzia;-9.8475;-36.9189;2513903.0;5;4;24;11
SÃO JOSÉ;amapa;Macapá;0.034934;-51.0694;1600303.0;5;1;1;12
MANCHESTER FUTEBOL;minas-gerais;Juiz de Fora;-21.7642;-43.3503;3136702.0;5;4;3;0
CALOUROS DO AR;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;5;0;3;9
INDEPENDENTE;para;Belterra;-2.63609;-54.9374;1501451.0;5;2;8;13
ITAREMA;ceara;Itarema;-2.9231;-39.9161;2306253.0;5;3;16;9
ESPORTE LIMOEIRO;ceara;Limoeiro do Norte;-5.14392;-38.0847;2307601.0;5;8;20;9
TESLA;para;Belém;-1.4558;-48.4902;1501402.0;5;2;7;12
TIRADENTES;para;Belém;-1.4554;-48.4898;1501402.0;5;4;20;12
CABENSE;pernambuco;Cabo de Santo Agostinho;-8.28218;-35.0253;2602902.0;5;9;17;8
RIO GRANDE;rio-grande-do-norte;Natal;-5.79357;-35.1986;2408102.0;5;2;3;8
CDC DA AMAZÔNIA;amazonas;Manaus;-3.11866;-60.0212;1302603.0;5;6;16;13
QUEIMADOS;rio-de-janeiro;Queimados;-22.7153;-43.5558;3304144.0;5;6;16;0
BRAZLÂNDIA;distrito_federal;Brasília;-15.6667;-48.1961;5300108.0;5;3;10;6
ATLÉTICO DE CAJAZEIRAS;paraiba;Livramento;-7.37113;-36.9491;2508505.0;5;1;12;8
SSA;bahia;Salvador;-12.9718;-38.5011;2927408.0;5;8;5;11
SANTA CRUZ;acre;Rio Branco;-9.974;-67.8076;3101300.0;5;3;1;5
OSASCO;sao-paulo;Osasco;-23.5324;-46.7916;3534401.0;4;1;3;1
CRICIÚMA B;santa-catarina;Criciúma;-28.6723;-49.3729;4204608.0;4;6;0;7
CRB B;alagoas;Maceió;-9.6658;-35.735;2704302.0;4;3;4;11
NOVA PRATA;rio-grande-do-sul;Nova Prata;-28.7799;-51.6113;4313300.0;4;7;27;7
FEMAR;paraiba;Alagoinha;-6.9533;-35.5414;2500601.0;4;4;7;8
UNIÃO ATLÉTICA ARAGUAINENSE;tocantins;Araguaína;-7.1925;-48.2078;1702109.0;4;1;0;4
IRANDUBA;amazonas;Iranduba;-3.2847;-60.1858;1301852.0;4;8;19;13
ARAGUAIA DE PALMAS;tocantins;Palmas;-10.1844;-48.3336;1721000.0;4;2;7;4
FLAMENGO DE GUANAMBI;bahia;Madre de Deus;-12.7446;-38.6153;2919926.0;4;2;5;11
ATLÉTICO BATISTENSE;santa-catarina;São José;-27.6136;-48.6366;4216602.0;4;3;15;7
CANOINHAS;santa-catarina;Canoinhas;-26.1772;-50.39;4203808.0;4;0;5;7
SABIÁ;maranhao;Caxias;-4.86505;-43.3617;2103000.0;4;1;5;10
SETE;amazonas;Manaus;-3.119;-60.0217;1302603.0;4;3;6;13
RENOVAÇÃO;amapa;Macapá;-0.0383;-51.0632;1600303.0;4;3;3;12
INDEPENDENTE DE RIO VERDE;goias;Rio Verde;-17.7923;-50.9192;5218805.0;4;2;8;6
RONDONIENSE;rondonia;Porto Velho;-8.76077;-63.8999;1100205.0;4;5;19;5
ATLÉTICO MOGI;sao-paulo;Bariri;-22.073;-48.7438;3505203.0;4;5;39;3
CENTRAL PARAÍSO;tocantins;Paraíso do Tocantins;-10.1753;-48.8839;1716109.0;4;3;5;4
SAMPAIO;roraima;Boa Vista;2.82384;-60.6753;1400100.0;4;4;14;13
MIRAMAR;paraiba;Cabedelo;-6.98731;-34.8284;2503209.0;4;3;3;8
G.A.S;roraima;Boa Vista;2.8233;-60.675;1400100.0;4;2;5;13
MAZAGÃO;amapa;Mazagão;-0.11336;-51.2891;1600402.0;4;1;1;12
BRÉSCIA;rio-de-janeiro;Magé;-22.6632;-43.0315;3302502.0;4;3;6;0
BARCELONA ESPORTIVO;sao-paulo;São Paulo;-23.5505;-46.6333;3550308.0;4;9;22;1
BOTAFOGO;sergipe;Cristinápolis;-11.4668;-37.7585;2801702.0;4;8;19;11
ALVORADA;tocantins;Alvorada;-12.4785;-49.1249;1700707.0;4;6;6;6
ALIANÇA;ceara;Pacatuba;-3.9842;-38.6203;2310107.0;4;2;6;9
UNIÃO DE PALMAS;tocantins;Palmas;-10.1844;-48.3336;1721000.0;3;1;10;4
VILA REAL;ceara;Jardim;-7.57599;-39.2826;2307106.0;3;2;5;9
URUMAJÓ;para;Augusto Corrêa;-1.0217;-46.6347;1500909.0;3;3;2;12
AMERICANO;maranhao;Bacabal;-4.22447;-44.7832;2101202.0;3;2;5;10
UNIVAP APODI;rio-grande-do-norte;Apodi;-5.6606;-37.7972;2401009.0;3;2;5;9
UNIÃO HARMONIA;rio-grande-do-sul;Canoas;-29.9189;-51.1767;4304606.0;3;4;49;7
RONDONÓPOLIS;mato-grosso;Rondonópolis;-16.4673;-54.6372;5107602.0;3;4;1;5
LIBRADE;amazonas;Manaus;-3.119;-60.0217;1302603.0;3;0;8;13
GRÊMIO OSASCO;sao-paulo;Osasco;-23.5324;-46.7916;3534401.0;3;3;10;1
SÃO GABRIEL;mato-grosso-do-sul;Bela Vista;-22.1073;-56.5263;5002100.0;3;3;11;3
BOTAFOGO;goias;Cristalina;-16.7686;-47.6136;5206206.0;3;2;12;6
ATLÉTICO AMAZONENSE;amazonas;Manaus;-3.11866;-60.0212;1302603.0;3;6;10;13
ATLÉTICO BACABAL;maranhao;Bacabal;-4.22447;-44.7832;2101202.0;3;1;4;10
TERESINA;piaui;Teresina;-5.09194;-42.8034;2211001.0;3;5;0;10
POTENGI;rio-grande-do-norte;Natal;-5.7945;-35.2119;2408102.0;3;2;7;8
CANAÃ;distrito_federal;Brasília;-15.7795;-47.9297;5300108.0;3;0;2;6
FORTALEZA B;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;3;5;3;9
ROLIM DE MOURA;rondonia;Rolim de Moura;-11.7271;-61.7714;1100288.0;3;3;8;5
CAP DE UBERLÂNDIA;minas-gerais;Uberlândia;-18.9141;-48.2749;3170206.0;3;2;11;3
FERROVIÁRIO;piaui;Parnaíba;-2.9031;-41.7761;2207701.0;3;3;1;10
PESQUEIRA;pernambuco;Pesqueira;-8.35797;-36.6978;2610905.0;3;5;8;8
JUVENTUS DE MINAS NOVAS;minas-gerais;Caldas;-21.9183;-46.3843;3110301.0;3;3;11;1
CITY LONDON;parana;Londrina;-23.3103;-51.1628;4113700.0;3;5;2;3
PASSOS;minas-gerais;Passos;-20.7193;-46.609;3147907.0;3;5;5;3
CEARÁ B;ceara;Fortaleza;-3.71664;-38.5423;2304400.0;3;2;4;9
FEIRENSE;bahia;Santo Antônio de Jesus;-12.9614;-39.2584;2928703.0;3;4;13;11
TRÊS LAGOAS;mato-grosso-do-sul;Três Lagoas;-20.7849;-51.7007;5008305.0;3;3;9;3
CRUZEIRO;amapa;Macapá;-0.0383;-51.0632;1600303.0;3;2;5;12
PARAÍBA DO SUL;rio-de-janeiro;Paraíba do Sul;-22.1585;-43.304;3303708.0;3;1;5;0
JUARA;mato-grosso;Juara;-11.4194;-57.5186;5105150.0;3;4;1;5
CSA B;alagoas;Maceió;-9.6658;-35.735;2704302.0;3;3;2;11
DUQUE CAXIENSE;rio-de-janeiro;Duque de Caxias;-22.7858;-43.3049;3301702.0;3;3;13;0
PATROCINENSE;minas-gerais;Patrocínio;-18.9379;-46.9934;3148103.0;3;2;3;3
MOGI MIRIM;sao-paulo;Mogi Mirim;-22.4332;-46.9532;3530805.0;2;6;12;1
LATITUDE ZERO;amapa;Macapá;-0.0383;-51.0632;1600303.0;2;2;6;12
GÁLATAS;espirito-santo;Itaguaçu;-19.8033;-40.855;3202700.0;2;1;5;2
BRASILEIRINHO;rio-de-janeiro;Rio de Janeiro;-22.9129;-43.2003;3304557.0;2;1;16;0
LEÔNICO;bahia;Salvador;-12.9718;-38.5011;2927408.0;2;5;17;11
BRASILIS;sao-paulo;Águas de Lindóia;-22.4733;-46.6314;3500501.0;2;4;2;1
SANTA CRUZ;mato-grosso;Barra do Bugres;-15.0702;-57.1878;5101704.0;2;0;8;5
AVAÍ B;santa-catarina;Florianópolis;-27.5945;-48.5477;4205407.0;2;2;8;7
GRECAL;parana;Francisco Beltrão;-26.0817;-53.0535;4108403.0;2;2;9;7
BARE;amapa;Macapá;-0.0383;-51.0632;1600303.0;2;1;9;12
BELA VISTA;rio-de-janeiro;Saquarema;-22.9292;-42.5099;3305505.0;2;2;24;0
BARREIROS;pernambuco;Barreiros;-8.8153;-35.1878;2601409.0;2;1;2;8
ÁGUIA DE CUMARU;pernambuco;Petrolina;-9.38866;-40.5027;2611101.0;2;1;5;11
ITACOATIARA;amazonas;Itacoatiara;-3.1417;-58.4444;1301902.0;2;4;0;13
YPIRANGA;bahia;Salvador;-12.9718;-38.5011;2927408.0;2;4;2;11
ADEC;amapa;Calçoene;2.49804;-50.9496;;2;1;6;12
