clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4
INDEPENDENTE/amapa;0.0575;-51.1736;0.0009381632403692407;1;1;1
TUPYNAMBÁS/minas_gerais;-21.7645;-43.3496;0.0009376688689698616;0;0;0
ÁGUIA/para;-5.3575;-49.1233;0.0009365322891923533;1;1;1
GOIATUBA/goias;-18.0158;-49.3553;0.0009203546563694366;0;1;0
GUARANI V. AIRES/rio_grande_do_sul;-29.6083;-52.1817;0.0009183611996403259;0;0;2
CAMPO GRANDE/rio_de_janeiro;-22.9068;-43.1729;0.0009155511305869106;0;0;0
TAUBATÉ/sao_paulo;-23.0272;-45.555;0.000912715629497267;0;0;0
VILLA NOVA/minas_gerais;-19.9858;-43.8486;0.0009085249379567621;0;0;0
CRUZEIRO/alagoas;-9.7547;-36.6575;0.0009079266234428432;1;2;3
AMÉRICA/sergipe;-10.2136;-36.8375;0.0009035843422235458;1;2;3
ATLÉTICO GLORIENSE/sergipe;-10.2217;-37.4153;0.0009032689298282834;1;2;3
GUANABARA CITY/goias;-16.6869;-49.2648;0.0009025004533741053;0;1;0
INTER DE BEBEDOURO/sao_paulo;-20.9514;-48.4794;0.0009023235984058585;0;0;0
MAUÁ/sao_paulo;-23.6672;-46.4614;0.0009022385052255349;0;0;0
GUARANY DE SOBRAL/ceara;-3.6828;-40.3528;0.0009020889684739606;1;2;3
SÃO GONÇALO/rio_de_janeiro;-22.8222;-43.0533;0.0008999653988591893;0;0;0
MURICI/alagoas;-9.2958;-35.8611;0.0008996833443311438;1;2;3
UNIÃO SUZANO/sao_paulo;-23.5389;-46.3111;0.0008984847083099679;0;0;0
NACIONAL ATL. MURIAÉ/minas_gerais;-21.1389;-42.3667;0.0008973496767267887;0;0;0
FRIBURGUENSE/rio_de_janeiro;-22.2823;-42.5325;0.0008964750640171051;0;0;0
PORTUGUESA SANTISTA/sao_paulo;-23.9608;-46.3333;0.0008942887109820395;0;0;0
SÃO RAIMUNDO/amazonas;-3.119;-60.0217;0.0008932682293736958;1;1;1
AMAZÔNIA INDEPENDENTE/para;-2.4453;-54.7084;0.0008903683938278075;1;1;1
ATLÉTICO/paraiba;-6.8936;-38.5614;0.000887557029763605;1;2;3
SÃO FRANCISCO/para;-2.4431;-54.7083;0.0008860609525452746;1;1;1
JEQUIÉ/bahia;-13.8583;-40.0811;0.000884299542994545;1;2;3
BANDEIRANTE/sao_paulo;-21.2867;-50.3411;0.000884136720061724;0;0;2
MAMORÉ/minas_gerais;-18.5833;-46.5167;0.0008826832392349157;0;0;0
BARCELONA DE ILHÉUS/bahia;-14.795;-39.0433;0.00088254590617622;1;2;3
JUVENTUS JARAGUÁ/santa_catarina;-26.4847;-49.075;0.0008804552980092579;0;0;2
REAL SPORT CLUB/rio_grande_do_sul;-29.7447;-50.0236;0.000879796725397971;0;0;2
RIO GRANDE/rio_grande_do_sul;-32.035;-52.0986;0.0008776594402748745;0;0;2
SALGUEIRO/pernambuco;-8.0753;-39.1214;0.0008745617609251714;1;2;3
GAS/roraima;2.8236;-60.6753;0.0008732452980398419;1;1;1
LINENSE/sao_paulo;-21.6733;-49.7431;0.0008730644232531936;0;0;2
TIMON/piaui;-5.0764;-42.8333;0.0008730586579551516;1;2;3
BARRA DA TIJUCA/rio_de_janeiro;-22.9068;-43.1729;0.0008730480023233429;0;0;0
RIO DE JANEIRO/rio_de_janeiro;-22.9068;-43.1729;0.000868160454228553;0;0;0
JI-PARANÁ/rondonia;-10.8803;-61.9447;0.0008669156024579136;0;1;1
YPIRANGA/amapa;0.0349;-51.0694;0.0008653506944073593;1;1;1
NAVIRAIENSE/mato_grosso_do_sul;-23.0636;-54.1903;0.0008635100447862466;0;0;2
IAPE/maranhao;-2.5307;-44.3068;0.0008620961261542016;1;2;3
SKA BRASIL/sao_paulo;-23.4458;-46.9186;0.0008619396501542208;0;0;2
BARRETOS/sao_paulo;-20.5583;-48.5686;0.0008602089374282747;0;0;0
NACIONAL/paraiba;-7.0233;-37.2753;0.00085836743760802;1;2;3
CAPITÃO POÇO/para;-1.7486;-47.0614;0.000858038339414601;1;1;1
BELA VISTA/tocantins;-6.4525;-47.6586;0.000857108513997513;1;1;1
CAETÉ/para;-1.0536;-46.7653;0.0008543033759105423;1;1;1
SÃO CAETANO/sao_paulo;-23.6186;-46.5736;0.0008538218850858744;0;0;0
PARANOÁ/distrito_federal;-15.8111;-47.7333;0.0008509456018775928;0;1;0
FLUMINENSE DE FEIRA/bahia;-12.2667;-38.9667;0.0008490430132835083;1;2;3
CARAPEBUS/rio_de_janeiro;-22.1853;-41.6336;0.0008479642054163613;0;0;0
MINEIROS/goias;-17.5675;-52.5511;0.0008479435997191104;0;1;2
NORTH ESPORTE CLUBE/minas_gerais;-16.735;-43.8603;0.0008444794389277611;0;2;0
VARGINHA/minas_gerais;-21.56;-45.4325;0.0008411491659145493;0;0;0
VITÓRIA DAS TABOCAS/pernambuco;-8.1225;-35.2953;0.0008408047872023531;1;2;3
COMERCIAL/sao_paulo;-21.1775;-47.8103;0.0008391206471447922;0;0;0
LAGUNA/rio_grande_do_norte;-5.79448;-35.211;0.000831951931385811;1;2;3
SANTA ROSA/para;-1.4558;-48.4902;0.0008317869842304768;1;1;1
DORENSE/sergipe;-10.4914;-37.1833;0.0008303156574738363;1;2;3
HORIZONTE/ceara;-4.1036;-38.4986;0.0008296536937466995;1;2;3
ITABIRITO/minas_gerais;-20.2486;-43.8044;0.0008290552985468324;0;0;0
JUVENTUDE/maranhao;-4.0333;-44.95;0.000827494018335695;1;2;3
ZUMBI/alagoas;-9.1467;-36.0333;0.0008249218220847414;1;2;3
GURUPI/tocantins;-11.7292;-49.0583;0.0008184678313988558;1;1;1
SANTA HELENA/goias;-17.8208;-50.5975;0.0008181638428046997;0;1;0
OSASCO AUDAX/sao_paulo;-23.5325;-46.7925;0.000814989820670242;0;0;2
SERC/mato_grosso_do_sul;-18.7833;-52.6236;0.0008148805709123801;0;1;2
CORURIPE/alagoas;-10.1253;-36.1753;0.0008138508313151015;1;2;3
VITÓRIA DA CONQUISTA/bahia;-14.8614;-40.8392;0.0008137073408331149;1;2;3
AMÉRICA/goias;-17.7317;-49.1022;0.0008136921031153372;0;1;0
PICOS/piaui;-7.0769;-41.4697;0.0008108614063028667;1;2;3
INDEPENDENTE TUCURUÍ/para;-3.7667;-49.6725;0.0008060570116603584;1;1;1
VERA CRUZ/pernambuco;-8.1225;-35.2953;0.0008041614682308352;1;2;3
CRATO/ceara;-7.2333;-39.4167;0.0008027627650847224;1;2;3
GUARANI/minas_gerais;-20.1453;-44.8903;0.0008021011669964791;0;0;0
MARANGUAPE/ceara;-3.8867;-38.6717;0.0008010404877874216;1;2;3
SERRA MACAENSE/rio_de_janeiro;-22.3756;-41.7833;0.0008007907143391501;0;0;0
ARUKO/parana;-23.421;-51.933;0.0007977191730069717;0;0;2
BELA VISTA/goias;-16.9753;-48.9556;0.0007954053627254485;0;1;0
COLORADO CAIEIRAS/sao_paulo;-23.3614;-46.7375;0.0007951270627438161;0;0;0
FREI PAULISTANO/sergipe;-10.5556;-37.5333;0.0007905756101556378;1;2;3
NAÇÃO/santa_catarina;-26.3044;-48.8464;0.0007887288031386502;0;0;2
MADUREIRA/rio_de_janeiro;-22.9068;-43.1729;0.0007867433349332807;0;0;0
ITAPIPOCA/ceara;-3.4917;-39.5758;0.0007859203891683426;1;2;3
FOZ DO IGUAÇU/parana;-25.5477;-54.5882;0.0007849038876388732;0;0;2
PARAUAPEBAS/para;-6.0717;-49.9022;0.000784605655397343;1;1;1
FAST CLUBE/amazonas;-3.119;-60.0217;0.0007842884885018531;1;1;1
SERTÃOZINHO/sao_paulo;-21.1333;-47.9833;0.000783814348808385;0;0;0
ZINZA/rio_de_janeiro;-22.9068;-43.1729;0.0007830235147629368;0;0;0
UNIÃO SÃO JOÃO/sao_paulo;-22.3586;-47.3803;0.0007829251210883042;0;0;0
AMÉRICA T.O/minas_gerais;-17.8583;-41.5056;0.0007750804249053121;0;2;0
SÃO CRISTÓVÃO/rio_de_janeiro;-22.9068;-43.1729;0.0007707253267906435;0;0;0
SÃO JOSEENSE/parana;-25.5353;-49.2075;0.0007706142541308136;0;0;2
JOSEENSE/sao_paulo;-23.305;-45.9652;0.000768129483785967;0;0;0
MACAÉ/rio_de_janeiro;-22.3756;-41.7833;0.0007674350795624329;0;0;0
CARLOS RENAUX/santa_catarina;-27.1006;-48.9135;0.00076415927334962;0;0;2
SÃO PAULO/rio_grande_do_sul;-32.035;-52.0986;0.0007632649349994124;0;0;2
SÃO PAULO CRYSTAL/paraiba;-7.1369;-35.1056;0.000762441749956233;1;2;3
GAÚCHO/rio_grande_do_sul;-28.2628;-52.4076;0.0007605125667347926;0;0;2
IVINHEMA/mato_grosso_do_sul;-22.3017;-53.8156;0.0007579696210320711;0;0;2
SANTA CRUZ/rio_grande_do_sul;-29.7175;-52.4333;0.0007522083282744936;0;0;2
UBERABA/minas_gerais;-19.7489;-47.9325;0.00075209914443147;0;0;0
PARINTINS/amazonas;-2.6283;-56.7397;0.000752019938468755;1;1;1
VALERIODOCE/minas_gerais;-19.6133;-43.2275;0.0007516999281744401;0;0;0
PARANAVAÍ/parana;-23.0775;-52.4636;0.0007504688882724487;0;0;2
CAMPOS/rio_de_janeiro;-21.7627;-41.3275;0.0007451199985050189;0;0;0
ANDRAUS/parana;-25.4583;-49.375;0.0007450440372811576;0;0;2
ASEEV/goias;-16.9458;-50.4667;0.0007446510443195535;0;1;0
ABECAT OUVIDORENSE/goias;-18.1558;-47.8667;0.0007446230002246359;0;0;0
REAL ARIQUEMES/rondonia;-9.9053;-63.0325;0.0007436899780268397;0;1;1
TUPI/minas_gerais;-21.7645;-43.3496;0.0007386072393249343;0;0;0
NACIONAL/parana;-23.3086;-51.3786;0.0007380946010560414;0;0;2
