clube;estado;cidade;lat;lon;ibge;wins;draws;losses;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;cluster_k6;cluster_k7;cluster_k8;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
ATLÉTICO;BA;Alagoinhas;-12.1335;-38.4208;2900702.0;48;37;49;0.0014134363942535;0;2;2;2;2;2;2;;;;;;;1.0;0.0;1.0
GRÊMIO PRUDENTE;SP;Presidente Prudente;-22.1207;-51.3925;3541406.0;59;29;32;0.0014061630912067;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
IGUATU;CE;Iguatu;-6.36281;-39.2892;2305506.0;56;32;45;0.0014051735797725;0;2;2;2;2;2;2;;;;;;;0.0;1.0;0.0
RIO BRANCO;SP;Americana;-22.7374;-47.3331;3501608.0;43;38;29;0.001385259146652;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
MARICÁ;RJ;Maricá;-22.9354;-42.8246;3302700.0;71;66;51;0.0013843537223424;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
4 DE JULHO;PI;Piripiri;-4.27157;-41.7716;2208403.0;39;40;36;0.0013798269754683;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
PORTUGUESA;SP;São Paulo;-23.5329;-46.6395;3550308.0;158;118;120;0.0013763536747408;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BARRA;SC;Balneário Camboriú;-26.9922;-48.6353;4202008.0;148;104;154;0.0013648237144626;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
DOURADOS;MS;Glória de Dourados;-22.4136;-54.2335;5004007.0;118;58;62;0.0013585159034241;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CAPITAL CF;DF;Brasília;-15.8222;-47.9781;5300108.0;37;22;14;0.0013329102079049;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
CIANORTE;PR;Cianorte;-23.6599;-52.6054;4105508.0;52;46;54;0.0013307213696714;1;1;0;0;1;0;1;;;;0.0;0.0;0.0;;;
CAMBORIÚ;SC;Camboriú;-27.0241;-48.6503;4203204.0;60;43;41;0.0013197942224951;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
SAMPAIO CORRÊA;RJ;Rio de Janeiro;-22.9129;-43.2003;3304557.0;68;42;58;0.0013179862342174;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
UBERLÂNDIA;MG;Uberlândia;-18.9141;-48.2749;3170206.0;102;110;142;0.0013097221125114;1;1;0;0;1;0;3;;;;0.0;0.0;3.0;;;
AIMORÉ;RS;São Leopoldo;-29.7545;-51.1498;4318705.0;140;92;198;0.0013087834633639;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
DUQUE DE CAXIAS;RJ;Duque de Caxias;-22.7858;-43.3049;3301702.0;54;44;53;0.0013047516978154;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
XV DE PIRACICABA;SP;Caraguatatuba;-23.6125;-45.4125;3510500.0;126;118;104;0.0013003174612501;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
SANTO ANDRÉ;SP;Santo André;-23.6737;-46.5432;3547809.0;160;138;188;0.0012947688966893;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
BETIM FUTEBOL;MG;Betim;-19.9668;-44.2008;3106705.0;62;43;31;0.001276087414802;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
GRAMADENSE;RS;Santa Maria;-29.6868;-53.8149;4316907.0;34;9;20;0.0012758498465674;1;1;0;4;4;4;4;;;;1.0;1.0;1.0;;;
GRÊMIO SÃO-CARLENSE;SP;São Carlos;-22.0174;-47.886;3548906.0;43;34;23;0.0012749025868018;1;1;0;0;5;5;5;;;;0.0;2.0;2.0;;;
PARNAHYBA;PI;Parnaíba;-2.90585;-41.7754;2207702.0;37;42;36;0.0012712650588944;0;0;3;3;3;1;0;1.0;0.0;0.0;;;;;;
