clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4;clube;uf;pos
MARANGUAPE/ceara;-3.89143;-38.6829;0.0007830559030606;0;0;2;0;2;2;Maranguape;CE;9
PICOS/piaui;-7.07721;-41.467;0.0007763037112474;0;0;2;0;2;1;Picos;PI;10
ATLÉTICO CEARENSE/ceara;-3.71664;-38.5423;0.0007447255070539;0;0;2;0;2;2;Atlético Cearense;CE;11
TUNTUM/maranhao;-5.25476;-44.6444;0.0007007461342236;0;0;2;0;2;1;Tuntum;MA;12
PINHEIRO/maranhao;-2.52224;-45.0788;0.0006620450493691;0;0;2;0;2;1;Pinheiro;MA;13
CORDINO/maranhao;-5.49682;-45.2485;0.0006597837196582;0;0;2;0;2;1;Cordino;MA;14
OEIRENSE/piaui;-7.0253;-42.1311;0.0006263991880998;0;0;2;0;2;1;Oeirense;PI;15
GUARANY DE SOBRAL/ceara;-3.71664;-38.5423;0.00061980762403;0;0;2;0;2;2;Guarany De Sobral;CE;16
CORISABBÁ/piaui;-6.77182;-43.0241;0.0005761974911662;0;0;2;0;2;1;Corisabbá;PI;17
FLAMENGO/piaui;-5.09194;-42.8034;0.0005674374095592;0;0;2;0;2;1;Flamengo;PI;18
SÃO JOSÉ/sao_paulo;-23.1896;-45.8841;0.0012068331932114;1;1;3;0;0;2;São José;SP;1
TAQUARITINGA/sao_paulo;-21.4049;-48.5103;0.0011825386135852;1;1;3;1;0;2;Taquaritinga;SP;2
PÉROLAS NEGRAS/rio_de_janeiro;-22.6289;-43.8972;0.0011602294590334;1;1;3;0;0;3;Pérolas Negras;RJ;3
RESENDE/rio_de_janeiro;-22.4705;-44.4509;0.0011348478552273;1;1;3;0;0;3;Resende;RJ;4
CALDENSE/minas_gerais;-21.78;-46.5692;0.001120082744383;1;1;3;1;0;2;Caldense;MG;5
UNIVASSOURAS ARTSUL/rio_de_janeiro;-22.7556;-43.4603;0.0010742619779999;1;1;3;0;0;3;Univassouras Artsul;RJ;6
FRANCANA/sao_paulo;-20.5352;-47.4039;0.0010286077666092;1;1;3;1;0;2;Francana;SP;7
MONTE AZUL/sao_paulo;-20.9065;-48.6387;0.0010060872289804;1;1;3;1;0;2;Monte Azul;SP;8
VELO CLUBE/sao_paulo;-22.4114;-47.5614;0.0010007360468211;1;1;3;1;0;2;Velo Clube;SP;9
FLAMENGO/sao_paulo;-23.4538;-46.5333;0.000993429796585;1;1;3;0;0;2;Flamengo;SP;10
PAULISTA/sao_paulo;-23.1852;-46.8974;0.0009916856993811;1;1;3;0;0;2;Paulista;SP;11
BOA ESPORTE/minas_gerais;-21.5556;-45.4364;0.000970193087945;1;1;3;0;0;2;Boa Esporte;MG;12
UNIÃO BARBARENSE/sao_paulo;-23.5208;-46.1854;0.0009589327174555;1;1;3;0;0;2;União Barbarense;SP;13
NACIONAL/sao_paulo;-23.5329;-46.6395;0.0009502565755264;1;1;3;0;0;2;Nacional;SP;14
ITAPIRENSE/sao_paulo;-22.4357;-46.8224;0.0009453602657315;1;1;3;1;0;2;Itapirense;SP;15
INDEPENDENTE DE LIMEIRA/sao_paulo;-22.566;-47.397;0.0009432701632682;1;1;3;1;0;2;Independente De Limeira;SP;16
MAUÁ/sao_paulo;-23.6678;-46.4614;0.000926466243714;1;1;3;0;0;2;Mauá;SP;17
JUVENTUS/sao_paulo;-23.5329;-46.6395;0.0009154268084457;1;1;3;0;0;2;Juventus;SP;18
URT/minas_gerais;-18.5853;-46.5181;0.0012059125455232;1;1;3;1;1;0;Urt;MG;1
REAL BRASÍLIA/distrito_federal;-15.7795;-47.9297;0.0011937618161281;1;2;3;1;1;0;Real Brasília;DF;2
ANAPOLINA/goias;-16.3281;-48.953;0.0011055824687796;1;2;3;1;1;0;Anapolina;GO;3
GRÊMIO ANÁPOLIS/goias;-16.3281;-48.953;0.0010669240563573;1;2;3;1;1;0;Grêmio Anápolis;GO;4
GOIANÉSIA/goias;-15.3118;-49.1162;0.0010571658168228;1;2;3;1;1;0;Goianésia;GO;5
CRAC/goias;-18.1658;-47.9461;0.001042670614405;1;2;3;1;1;0;Crac;GO;6
IPORÁ/goias;-16.4398;-51.118;0.001035116178256;1;2;3;1;1;0;Iporá;GO;7
MAMORÉ/minas_gerais;-18.5699;-46.5013;0.0009942170127268;1;1;3;1;1;0;Mamoré;MG;8
CENTRO OESTE/goias;-15.9333;-50.14;0.0009881951118381;1;2;3;1;1;0;Centro Oeste;GO;9
GOIÂNIA/goias;-16.6864;-49.2643;0.0009332656893979;1;2;3;1;1;0;Goiânia;GO;10
INHUMAS/goias;-16.3611;-49.5001;0.0009265448273933;1;2;3;1;1;0;Inhumas;GO;11
GOIATUBA/goias;-18.0105;-49.3658;0.0009084835835799;1;2;3;1;1;0;Goiatuba;GO;12
NORTH ESPORTE CLUBE/minas_gerais;-16.7244;-43.8617;0.000895896981987;1;0;3;1;1;1;North Esporte Clube;MG;13
TRINDADE/goias;-16.6517;-49.4927;0.0008936257661115;1;2;3;1;1;0;Trindade;GO;14
UBERABA/minas_gerais;-19.7472;-47.9381;0.0008622924205017;1;1;3;1;1;2;Uberaba;MG;15
PARANOÁ/distrito_federal;-15.7744;-47.7817;0.0008519995078517;1;2;3;1;1;0;Paranoá;DF;16
GUANABARA CITY/goias;-16.6864;-49.2643;0.0008519460988143;1;2;3;1;1;0;Guanabara City;GO;17
SANTA HELENA/goias;-17.8115;-50.5977;0.0007736818356603;1;2;3;1;1;0;Santa Helena;GO;18
AMERICA/rio_de_janeiro;-22.9129;-43.2003;0.0012339433005037;1;1;3;0;2;3;America;RJ;1
AUDAX RIO/rio_de_janeiro;-22.8058;-43.3729;0.0012070796075632;1;1;3;0;2;3;Audax Rio;RJ;2
AMERICANO/rio_de_janeiro;-21.7622;-41.3181;0.0012031511828603;1;1;3;0;2;1;Americano;RJ;3
PADUANO/rio_de_janeiro;-22.9129;-43.2003;0.0011875341851859;1;1;3;0;2;3;Paduano;RJ;4
SERRA/espirito_santo;-20.121;-40.3074;0.0011582964906635;1;0;3;0;2;1;Serra;ES;5
SERRANO/rio_de_janeiro;-22.52;-43.1926;0.0011294521456251;1;1;3;0;2;3;Serrano;RJ;6
BOAVISTA/rio_de_janeiro;-22.9292;-42.5099;0.0011279235108187;1;1;3;0;2;3;Boavista;RJ;7
CABOFRIENSE/rio_de_janeiro;-22.8894;-42.0286;0.0011166969098404;1;1;3;0;2;3;Cabofriense;RJ;8
PORTO VITÓRIA/espirito_santo;-20.3155;-40.3128;0.0010789185150854;1;0;3;0;2;1;Porto Vitória;ES;9
BANGU/rio_de_janeiro;-22.9129;-43.2003;0.0010647581145276;1;1;3;0;2;3;Bangu;RJ;10
IPATINGA/minas_gerais;-19.4703;-42.5476;0.0010310148400319;1;0;3;0;2;1;Ipatinga;MG;11
RIO BRANCO DE VENDA NOVA/espirito_santo;-20.327;-41.1355;0.0010211089371922;1;0;3;0;2;1;Rio Branco De Venda Nova;ES;12
AYMORÉS/minas_gerais;-21.1206;-42.9422;0.0009811981527603;1;1;3;0;2;3;Aymorés;MG;13
BONSUCESSO/rio_de_janeiro;-22.9129;-43.2003;0.0009705265640226;1;1;3;0;2;3;Bonsucesso;RJ;14
GOYTACAZ/rio_de_janeiro;-21.7622;-41.3181;0.0009353654101475;1;1;3;0;2;1;Goytacaz;RJ;15
DESPORTIVA FERROVIÁRIA/espirito_santo;-20.3375;-40.3847;0.0009352862866238;1;0;3;0;2;1;Desportiva Ferroviária;ES;16
TUPYNAMBÁS/minas_gerais;-21.7595;-43.3398;0.0009314775655805;1;1;3;0;2;3;Tupynambás;MG;17
VILLA NOVA/minas_gerais;-19.9758;-43.8509;0.0009167479824945;1;1;3;0;2;1;Villa Nova;MG;18
