clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5;sub_cluster_m0_k2;sub_cluster_m0_k3;sub_cluster_m0_k4;sub_cluster_m1_k2;sub_cluster_m1_k3;sub_cluster_m1_k4;sub_cluster_m2_k2;sub_cluster_m2_k3;sub_cluster_m2_k4
CIANORTE/parana;Cianorte;parana;-23.6599;-52.6054;Cianorte;0.0013292291708064;1;1;0;0;;;;0.0;0.0;1.0;;;
CAMBORIÚ/santa_catarina;Camboriú;santa_catarina;-27.0241;-48.6503;Camboriú;0.0013161865223235;1;1;0;4;;;;1.0;1.0;3.0;;;
SAMPAIO CORRÊA/rio_de_janeiro;Sampaio Corrêa;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.001314339022789;1;1;0;0;;;;0.0;2.0;2.0;;;
AIMORÉ/rio_grande_do_sul;Aimoré;rio_grande_do_sul;-29.7545;-51.1498;São Leopoldo;0.0013051362820177;1;1;0;4;;;;1.0;1.0;3.0;;;
DUQUE DE CAXIAS/rio_de_janeiro;Duque De Caxias;rio_de_janeiro;-22.7858;-43.3049;Duque de Caxias;0.0013007419611642;1;1;0;0;;;;0.0;2.0;2.0;;;
XV DE PIRACICABA/sao_paulo;Xv De Piracicaba;sao_paulo;-22.7338;-47.6476;Piracicaba;0.0012989003982193;1;1;0;0;;;;0.0;0.0;1.0;;;
SANTO ANDRÉ/sao_paulo;Santo André;sao_paulo;-23.6737;-46.5432;Santo André;0.0012978808526311;1;1;0;0;;;;0.0;0.0;1.0;;;
PARNAHYBA/piaui;Parnahyba;piaui;-2.90585;-41.7754;Parnaíba;0.0012812306997234;0;0;3;3;1.0;0.0;0.0;;;;;;
NOVA MUTUM/mato_grosso;Nova Mutum;mato_grosso;-13.8344;-56.0728;Nova Mutum;0.0012747324045686;1;1;0;0;;;;0.0;0.0;0.0;;;
GRAMADENSE/rio_grande_do_sul;Gramadense;rio_grande_do_sul;-29.3791;-50.8764;Gramado;0.0012717448414594;1;1;0;4;;;;1.0;1.0;3.0;;;
GRÊMIO SÃO-CARLENSE/sao_paulo;Grêmio São-Carlense;sao_paulo;-22.0174;-47.886;São Carlos;0.0012710123707252;1;1;0;0;;;;0.0;0.0;1.0;;;
NOVO HAMBURGO/rio_grande_do_sul;Novo Hamburgo;rio_grande_do_sul;-29.6875;-51.1328;Novo Hamburgo;0.0012657841659043;1;1;0;4;;;;1.0;1.0;3.0;;;
UBERLÂNDIA/minas_gerais;Uberlândia;minas_gerais;-18.9141;-48.2749;Uberlândia;0.0012638737525846;1;1;0;0;;;;0.0;0.0;1.0;;;
BETIM FUTEBOL/minas_gerais;Betim Futebol;minas_gerais;-19.9668;-44.2008;Betim;0.001261049689017;1;1;0;0;;;;0.0;2.0;2.0;;;
MIXTO/mato_grosso;Mixto;mato_grosso;-15.601;-56.0974;Cuiabá;0.0012560204845007;1;1;0;0;;;;0.0;0.0;0.0;;;
XV DE JAÚ/sao_paulo;Xv De Jaú;sao_paulo;-22.2936;-48.5592;Jaú;0.0012556038681592;1;1;0;0;;;;0.0;0.0;1.0;;;
HERCÍLIO LUZ/santa_catarina;Hercílio Luz;santa_catarina;-28.4713;-49.0144;Tubarão;0.0012492881284586;1;1;0;4;;;;1.0;1.0;3.0;;;
NOVA VENÉCIA/espirito_santo;Nova Venécia;espirito_santo;-18.715;-40.4053;Nova Venécia;0.0012433894017197;1;1;0;0;;;;0.0;2.0;2.0;;;
ÁGUA SANTA/sao_paulo;Água Santa;sao_paulo;-23.6813;-46.6205;Diadema;0.0012376437545194;1;1;0;0;;;;0.0;0.0;1.0;;;
CAPITAL/tocantins;Capital;tocantins;-10.1844;-48.3336;Palmas;0.0012364581226745;0;0;3;3;1.0;0.0;0.0;;;;;;
CENTRAL/pernambuco;Central;pernambuco;-8.28455;-35.9699;Caruaru;0.0012360067895959;0;2;2;2;;;;;;;0.0;2.0;2.0
BELFORD ROXO/rio_de_janeiro;Belford Roxo;rio_de_janeiro;-22.764;-43.3992;Belford Roxo;0.001234443033758;1;1;0;0;;;;0.0;2.0;2.0;;;
AMERICA/rio_de_janeiro;America;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0012339433005037;1;1;0;0;;;;0.0;2.0;2.0;;;
SÃO BENTO/sao_paulo;São Bento;sao_paulo;-23.4969;-47.4451;Sorocaba;0.0012222928167484;1;1;0;0;;;;0.0;0.0;1.0;;;
CASTANHAL/para;Castanhal;para;-1.29797;-47.9167;Castanhal;0.0012179083782513;0;0;3;3;1.0;0.0;3.0;;;;;;
AUDAX RIO/rio_de_janeiro;Audax Rio;rio_de_janeiro;-22.8058;-43.3729;São João de Meriti;0.0012070796075632;1;1;0;0;;;;0.0;2.0;2.0;;;
SÃO JOSÉ/sao_paulo;São José;sao_paulo;-23.1896;-45.8841;São José dos Campos;0.0012068331932114;1;1;0;0;;;;0.0;0.0;1.0;;;
URT/minas_gerais;Urt;minas_gerais;-18.5853;-46.5181;Patos de Minas;0.0012059125455232;1;1;0;0;;;;0.0;0.0;1.0;;;
ÁGUIA NEGRA/mato_grosso_do_sul;Águia Negra;mato_grosso_do_sul;-21.8033;-54.5427;Rio Brilhante;0.0012035738902464;1;1;0;0;;;;0.0;0.0;1.0;;;
AMERICANO/rio_de_janeiro;Americano;rio_de_janeiro;-21.7622;-41.3181;Campos dos Goytacazes;0.0012031511828603;1;1;0;0;;;;0.0;2.0;2.0;;;
REAL BRASÍLIA/distrito_federal;Real Brasília;distrito_federal;-15.7795;-47.9297;Brasília;0.0011937618161281;1;1;0;0;;;;0.0;0.0;0.0;;;
MARACANÃ/ceara;Maracanã;ceara;-3.86699;-38.6259;Maracanaú;0.0011885122263281;0;2;2;2;;;;;;;0.0;1.0;0.0
PADUANO/rio_de_janeiro;Paduano;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0011875341851859;1;1;0;0;;;;0.0;2.0;2.0;;;
INTERPORTO/tocantins;Interporto;tocantins;-10.7027;-48.408;Porto Nacional;0.0011871335055572;0;0;3;3;1.0;0.0;0.0;;;;;;
GLOBO/rio_grande_do_norte;Globo;rio_grande_do_norte;-5.64323;-35.4247;Ceará-Mirim;0.0011864265535585;0;2;2;2;;;;;;;0.0;2.0;2.0
TAQUARITINGA/sao_paulo;Taquaritinga;sao_paulo;-21.4049;-48.5103;Taquaritinga;0.0011825386135852;1;1;0;0;;;;0.0;0.0;1.0;;;
OPERÁRIO FERROVIÁRIO/parana;Operário Ferroviário;parana;-25.0916;-50.1668;Ponta Grossa;0.0011781851752285;1;1;0;4;;;;1.0;1.0;3.0;;;
CEOV OPERÁRIO/mato_grosso;Ceov Operário;mato_grosso;-15.65;-56.1325;Várzea Grande;0.0011759193022777;1;1;0;0;;;;0.0;0.0;0.0;;;
LUVERDENSE/mato_grosso;Luverdense;mato_grosso;-13.0588;-55.9042;Lucas do Rio Verde;0.0011669855614398;1;1;0;0;;;;0.0;0.0;0.0;;;
PÉROLAS NEGRAS/rio_de_janeiro;Pérolas Negras;rio_de_janeiro;-22.6289;-43.8972;Piraí;0.0011602294590334;1;1;0;0;;;;0.0;2.0;2.0;;;
SERRA/espirito_santo;Serra;espirito_santo;-20.121;-40.3074;Serra;0.0011582964906635;1;1;0;0;;;;0.0;2.0;2.0;;;
ICASA/ceara;Icasa;ceara;-7.19621;-39.3076;Juazeiro do Norte;0.0011566784089083;0;2;2;2;;;;;;;0.0;1.0;0.0
IMPERATRIZ/maranhao;Imperatriz;maranhao;-5.51847;-47.4777;Imperatriz;0.0011437373483458;0;0;3;3;1.0;0.0;0.0;;;;;;
AQUIDAUANENSE/mato_grosso_do_sul;Aquidauanense;mato_grosso_do_sul;-20.4666;-55.7868;Aquidauana;0.0011398968418612;1;1;0;0;;;;0.0;0.0;1.0;;;
RESENDE/rio_de_janeiro;Resende;rio_de_janeiro;-22.4705;-44.4509;Resende;0.0011348478552273;1;1;0;0;;;;0.0;2.0;2.0;;;
SERRANO/rio_de_janeiro;Serrano;rio_de_janeiro;-22.52;-43.1926;Petrópolis;0.0011294521456251;1;1;0;0;;;;0.0;2.0;2.0;;;
BOAVISTA/rio_de_janeiro;Boavista;rio_de_janeiro;-22.9292;-42.5099;Saquarema;0.0011279235108187;1;1;0;0;;;;0.0;2.0;2.0;;;
CAUCAIA/ceara;Caucaia;ceara;-3.72797;-38.6619;Caucaia;0.0011255574570259;0;2;2;2;;;;;;;0.0;1.0;0.0
CALDENSE/minas_gerais;Caldense;minas_gerais;-21.78;-46.5692;Poços de Caldas;0.001120082744383;1;1;0;0;;;;0.0;2.0;2.0;;;
