clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
SÃO CRISTÓVÃO/rio_de_janeiro;-22.9068;-43.1729;0.0007715925869365;0;2;0;0;0;0
JOSEENSE/sao_paulo;-23.305;-45.9652;0.0007689923917118;0;2;0;0;2;2
MACAÉ/rio_de_janeiro;-22.3756;-41.7833;0.0007682441544389;0;2;0;0;0;0
UBERABA/minas_gerais;-19.7489;-47.9325;0.0007529297308488;0;2;0;1;1;2
VALERIODOCE/minas_gerais;-19.6133;-43.2275;0.0007525183988656;0;2;0;0;0;3
CAMPOS/rio_de_janeiro;-21.7627;-41.3275;0.000745959192611;0;2;0;0;0;3
ASEEV/goias;-16.9458;-50.4667;0.0007454674292649;0;1;0;1;1;1
ABECAT OUVIDORENSE/goias;-18.1558;-47.8667;0.00074542194519;0;2;0;1;1;1
TUPI/minas_gerais;-21.7645;-43.3496;0.0007393778988422;0;2;0;0;0;0
TAGUATINGA/distrito_federal;-15.8267;-48.0619;0.0007211347028035;0;1;0;1;1;1
LUZIÂNIA/goias;-16.2514;-47.9514;0.0007180150182329;0;1;0;1;1;1
ESTRELA DO NORTE/espirito_santo;-20.8475;-41.1119;0.0007179199597789;0;2;0;0;0;3
BÚZIOS/rio_de_janeiro;-22.7475;-41.8833;0.0007138551511276;0;2;0;0;0;0
GRÊMIO MAUAENSE/sao_paulo;-23.6672;-46.4614;0.0007135548343064;0;2;0;0;2;2
ABD/goias;-16.6869;-49.2648;0.0006969904397679;0;1;0;1;1;1
SAMAMBAIA/distrito_federal;-15.8786;-48.0506;0.0006923700921127;0;1;0;1;1;1
ARRAIAL DO CABO/rio_de_janeiro;-22.9694;-42.0247;0.0006909060519034;0;2;0;0;0;0
JABAQUARA/sao_paulo;-23.9608;-46.3333;0.000686717015464;0;2;0;0;2;2
NOVA CIDADE/rio_de_janeiro;-22.8075;-43.4111;0.0006832562505545;0;2;0;0;2;0
