clube_id;clube;lat;lon;score;cluster
CARLOS RENAUX/santa_catarina;Carlos Renaux;-27.0977;-48.9107;0.0007723894670025244;0
SERC/mato_grosso_do_sul;Serc;-18.7836;-52.6178;0.000771108539370151;0
ATLÉTICO/paraiba;Atlético;-6.59138;-37.6185;0.0007707307223252334;1
VERA CRUZ/pernambuco;Vera Cruz;-8.12819;-35.2976;0.0007698205424366581;1
NACIONAL/parana;Nacional;-25.4195;-49.2646;0.0007683371330468301;0
AMÉRICA/goias;América;-17.7334;-49.1059;0.000767846122427608;0
UNIÃO DE RONDONÓPOLIS/mato_grosso;União De Rondonópolis;-16.4673;-54.6372;0.000765965476613508;0
FAST CLUBE/amazonas;Fast Clube;-3.119;-60.0217;0.000765127338313791;2
SERRA MACAENSE/rio_de_janeiro;Serra Macaense;-22.3768;-41.7848;0.0007648766438649604;0
GRÊMIO MAUAENSE/sao_paulo;Grêmio Mauaense;-23.6677;-46.4613;0.0007640188711359332;0
SÃO PAULO CRYSTAL/paraiba;São Paulo Crystal;-7.1517;-35.0847;0.0007587679021529965;1
SÃO PAULO/rio_grande_do_sul;São Paulo;-32.0349;-52.1071;0.000752599114048132;0
SANTA CATARINA/santa_catarina;Santa Catarina;-27.2156;-49.643;0.0007524104674190895;0
ANDRAUS/parana;Andraus;-25.4578;-49.5297;0.0007521009447496205;0
DOM BOSCO/mato_grosso;Dom Bosco;-15.601;-56.0974;0.0007517220244777346;0
