clube_id;lat;lon;score;cluster_k2;cluster_k3;cluster_k4;serie_d_k2;serie_d_k3;serie_d_k4
CAMPO GRANDE/rio_de_janeiro;-22.9129;-43.2003;0.0008690852657881;0;0;0;1;1;1
UNIÃO SUZANO/sao_paulo;-23.5208;-46.1854;0.0008651946125194;0;0;0;1;1;1
INTER DE BEBEDOURO/sao_paulo;-20.9491;-48.4791;0.000862756391892;0;0;0;1;2;2
UBERABA/minas_gerais;-19.7472;-47.9381;0.0008622924205017;0;0;0;1;2;2
PORTUGUESA SANTISTA/sao_paulo;-23.5329;-46.6395;0.0008620637169657;0;0;0;1;1;1
SÃO GONÇALO/rio_de_janeiro;-22.8268;-43.0634;0.0008617842106318;0;0;0;1;1;1
REAL SPORT CLUB/rio_grande_do_sul;-29.7642;-50.0282;0.0008605885770988;0;0;3;0;0;0
GE BRASIL/rio_grande_do_sul;-29.2227;-51.3419;0.0008572478577497;0;0;3;0;0;0
RIO GRANDE/rio_grande_do_sul;-32.0349;-52.1071;0.0008571741940565;0;0;3;0;0;0
PARANOÁ/distrito_federal;-15.7744;-47.7817;0.0008519995078517;0;0;0;1;2;2
GUANABARA CITY/goias;-16.6864;-49.2643;0.0008519460988143;0;0;0;1;2;2
ITABIRITO/minas_gerais;-20.2528;-43.8053;0.000851944385698;0;0;0;1;1;1
BANDEIRANTE/sao_paulo;-21.291;-50.3432;0.0008470232415159;0;0;0;0;2;2
LINENSE/sao_paulo;-21.6718;-49.7526;0.0008398796771375;0;0;0;0;2;2
SKA BRASIL/sao_paulo;-23.4447;-46.9189;0.000829884457006;0;0;0;1;1;1
SÃO CAETANO/sao_paulo;-23.6229;-46.5548;0.000829120763326;0;0;0;1;1;1
BARRETOS/sao_paulo;-20.5531;-48.5698;0.0008281443620371;0;0;0;1;2;2
BARRA DA TIJUCA/rio_de_janeiro;-22.4165;-42.9752;0.0008280126459806;0;0;0;1;1;1
RIO DE JANEIRO/rio_de_janeiro;-22.9129;-43.2003;0.0008214064464275;0;0;0;1;1;1
GAÚCHO/rio_grande_do_sul;-28.2576;-52.4091;0.0008209277357628;0;0;3;0;0;0
NAVIRAIENSE/mato_grosso_do_sul;-23.0618;-54.1995;0.0008165250595882;0;0;3;0;0;3
FOZ DO IGUAÇU/parana;-26.2273;-51.0873;0.0008154566967799;0;0;3;0;0;0
