clube;uf;pagerank_score
Abd;GO;0.0006969904397679034
Pinheiro;MA;0.0006936279779661545
Samambaia;DF;0.0006923700921127083
Cordino;MA;0.0006912001391569444
Arraial Do Cabo;RJ;0.0006909060519034122
Confiança;PB;0.0006895430205097146
União Cacoalense;RO;0.000689321283544632
Jabaquara;SP;0.0006867170154640174
Guarany De Bagé;RS;0.0006860283966735169
Nova Cidade;RJ;0.0006832562505545753
Dom Bosco;MT;0.0006826571647043076
Baraúnas;RN;0.0006825135110060344
Futebol Com Vida;RS;0.000681303880576933
Independência;AC;0.0006799836109726091
Império Serrano;RJ;0.0006772558528120909
Corumbaense;MS;0.0006762946706071008
Ceilandense;DF;0.0006761550109924747
Paraty;RJ;0.0006746915404607021
Atlético Paraense;PA;0.0006735894493719457
7 De Abril;RJ;0.0006731711870168479
Rio Verde;GO;0.0006718403903204415
Niteroiense;RJ;0.0006716243632714846
América;SP;0.0006711587690120915
Vilavelhense;ES;0.0006684720334287649
Coxim;MS;0.0006669388327722075
Iguaçu;PR;0.0006669240409387819
Inter De Lages;SC;0.0006668073121554851
Tupy;GO;0.0006633480868848299
Cariri;CE;0.000659412952174177
Araguaína;TO;0.000658006837408596
Penarol;AM;0.0006579453644179347
Esmac;PA;0.0006575152233080687
Atlético Tubarão;SC;0.0006572272178273921
Tocantins Miracema;TO;0.0006571951494174262
Oeirense;PI;0.0006570384227018244
Laranja Mecânica;PR;0.00065496290614337
Grapiúna;BA;0.0006542903723158989
Manthiqueira;SP;0.0006540618255784849
Barbalha;CE;0.0006504589853291424
Maguary;PE;0.0006485886849243387
Araçatuba;SP;0.0006477738215843832
Itz Sport;MA;0.0006459294837058194
Angra Dos Reis;RJ;0.0006433153981792126
União Paraense;PA;0.0006427757205270462
Caravaggio;SC;0.0006406863294803797
Capixaba;ES;0.000636993090233798
Operário;AM;0.0006330564734243479
Mossoró;RN;0.000632038784067319
São Francisco;AC;0.0006316561475528532
Guarani De Juazeiro;CE;0.0006306574599056144
Auto Esporte;PB;0.0006297404677497409
Maracaju;MS;0.0006277465593762444
Qfc;RN;0.0006241777143080172
Pstc;PR;0.000623807669088729
Morrinhos;GO;0.0006230641093584022
Csp;PB;0.0006211639630238267
Potyguar Seridoense;RN;0.000619157437091161
Apafut;RS;0.0006139309121765288
Decisão;PE;0.0006137666518979505
Guarany;AL;0.0006107164823224505
Cr Aquidauana;MS;0.0006086022879242368
Bataguassu;MS;0.0006086022879242368
Guarani;SC;0.0006064907206650359
Corisabbá;PI;0.0006059622498120037
Juventus;RJ;0.0006049514777895782
Pelotas;RS;0.0006045465933161488
Independente;SE;0.0006042664641730299
Maruinense;SE;0.0006019634770177329
Atlético Central;SE;0.0006010062198902517
Aparecida;GO;0.0005960416000810293
Flamengo;PI;0.0005951661524139746
Planaltina;DF;0.0005920416116143598
União Luziense;MG;0.0005916117475680295
Santos;PA;0.0005906449674870729
Bagé;RS;0.0005903317286618868
Itumbiara;GO;0.000589738361481709
Santa Cruz;RJ;0.0005890544578244386
Galícia;BA;0.0005882279343091282
Contagem;MG;0.0005877889124359569
Metropolitano;SC;0.0005876359051890629
Araguacema;TO;0.0005870109597145885
Sorriso;MT;0.0005839083330190434
Brasília;DF;0.0005837370518805126
Centro Limoeirense;PE;0.0005836931493120249
Guaraí;TO;0.0005823491688786163
Ypiranga;PE;0.0005815541333176926
Toledo;PR;0.0005796716709157015
Sobradinho;DF;0.0005793837795227658
Barcelona;RO;0.0005769237106052672
Jacobina;BA;0.0005761038192340312
Ad Carmópolis;SE;0.0005754074934988033
Ae Paracatu;MG;0.0005748703516547176
Força E Luz;RN;0.0005738405718390973
Tiradentes;CE;0.0005737083641615613
Caruaru City;PE;0.0005729287453308377
Crixás;GO;0.000572830978179879
Rio São Paulo;RJ;0.0005727425678917854
Ipojuca;PE;0.0005697047839961808
Guaporé;RO;0.0005696980276027485
Caçador;SC;0.0005693496050763645
Fonte Nova;PA;0.0005686997524114518
Piauí;PI;0.0005677883291317509
América De Pedrinhas;SE;0.0005661153261145765
Desportiva Guarabira;PB;0.0005649970022917084
Canindé;SE;0.0005631859835608315
Tupan;MA;0.0005602197764299228
Cerrado;GO;0.0005600281795296451
São Carlos;SP;0.000559634477636491
Blumenau;SC;0.0005588930713319247
Rio Negro;AM;0.0005583421413850165
Sinop;MT;0.0005567929465806476
Guarulhos;SP;0.0005527597378612348
Boquinhense;SE;0.000552607009648419
Caac Brasil;RJ;0.0005521162376948693
Pacatuba;CE;0.0005518679690350212
Poconé;MT;0.0005490888543196472
Esporte;PB;0.0005488658230101375
Atlético Carioca;RJ;0.0005482079156409146
Carajás;PA;0.0005476126402382933
América;PE;0.0005470660786191689
Passo Fundo;RS;0.0005455840571344534
Apucarana Sports;PR;0.0005420309853700047
Novoperário;MS;0.0005410423016407045
Itararé;SP;0.0005404335550556446
Tupã;SP;0.0005401218307124831
Ceres;RJ;0.0005384697857695809
Sport Sinop;MT;0.0005381448422592345
Itupiranga;PA;0.0005380982134950477
Comercial;PI;0.0005370905928655078
Gavião Kyikatejê;PA;0.0005357323642569466
São Paulo;AP;0.0005355963820173081
Tapajós;PA;0.0005353410305503621
Jaraguá;GO;0.0005352985813565192
Igrejinha;RS;0.0005310069301755949
Náutico;RR;0.0005292704793676839
Sapucaiense;RS;0.0005265347750702231
Ecus;SP;0.0005265096176004276
Penedense;AL;0.00052645271255493
Uruaçu;GO;0.0005264431749535763
Portuguesa;AP;0.0005262766045844228
Ação;MT;0.0005258386905143109
Bom Jesus;GO;0.0005254523034145175
Santa Maria;DF;0.0005244202387338484
Amparo;SP;0.0005234290912773038
Desportivo Aliança;AL;0.0005228719065513037
Vera Cruz;RJ;0.000520901320708294
Prudentópolis;PR;0.0005205834742166344
Cristal;AP;0.0005193930672745795
Araruama;RJ;0.0005179697311744164
Jaguaré;ES;0.00051765456032771
Esportivo;RS;0.000515658032744659
Desportiva Aracaju;SE;0.0005141800203136555
Atlético Catarinense;SC;0.0005130778815957617
Poços De Caldas;MG;0.000511932552535759
Batel;PR;0.0005109419800289667
Ff Sport;AL;0.0005094307047632626
Batatais;SP;0.000508147878609218
Tigres Do Brasil;RJ;0.0005068527140808206
Queimadense;PB;0.0005062183450430393
Crateús;CE;0.0005047277781795278
Fluminense De Joinville;SC;0.0004989969050221586
Pinheiros;ES;0.0004984886661197124
Araxá;MG;0.0004977703119552415
Chapadinha;MA;0.0004975023684523097
Cáceres;MT;0.0004950369413452544
Sete De Setembro;PE;0.000494338101284562
Quixadá;CE;0.0004929928108404168
