clube_id;clube;estado;lat;lon;cidade;pagerank_score;cluster_k2;cluster_k3;cluster_k4;cluster_k5
REAL BRASÍLIA/distrito_federal;Real Brasília;distrito_federal;-15.7795;-47.9297;Brasília;0.001193761816128168;1;1;0;0
MARACANÃ/ceara;Maracanã;ceara;-3.86699;-38.6259;Maracanaú;0.001188512226328177;0;2;2;2
PADUANO/rio_de_janeiro;Paduano;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0011875341851859942;1;1;0;0
INTERPORTO/tocantins;Interporto;tocantins;-10.7027;-48.408;Porto Nacional;0.001187133505557274;0;0;3;3
GLOBO/rio_grande_do_norte;Globo;rio_grande_do_norte;-5.64323;-35.4247;Ceará-Mirim;0.0011864265535585974;0;2;2;2
TAQUARITINGA/sao_paulo;Taquaritinga;sao_paulo;-21.4049;-48.5103;Taquaritinga;0.0011825386135852496;1;1;0;0
OPERÁRIO FERROVIÁRIO/parana;Operário Ferroviário;parana;-25.0916;-50.1668;Ponta Grossa;0.0011781851752285762;1;1;0;4
CEOV OPERÁRIO/mato_grosso;Ceov Operário;mato_grosso;-15.65;-56.1325;Várzea Grande;0.001175919302277712;1;1;0;0
LUVERDENSE/mato_grosso;Luverdense;mato_grosso;-13.0588;-55.9042;Lucas do Rio Verde;0.0011669855614398154;1;1;0;0
PÉROLAS NEGRAS/rio_de_janeiro;Pérolas Negras;rio_de_janeiro;-22.6289;-43.8972;Piraí;0.001160229459033463;1;1;0;0
SERRA/espirito_santo;Serra;espirito_santo;-20.121;-40.3074;Serra;0.0011582964906635266;1;1;0;0
ICASA/ceara;Icasa;ceara;-7.19621;-39.3076;Juazeiro do Norte;0.0011566784089083165;0;2;2;2
IMPERATRIZ/maranhao;Imperatriz;maranhao;-5.51847;-47.4777;Imperatriz;0.0011437373483458271;0;0;3;3
AQUIDAUANENSE/mato_grosso_do_sul;Aquidauanense;mato_grosso_do_sul;-20.4666;-55.7868;Aquidauana;0.0011398968418612127;1;1;0;0
RESENDE/rio_de_janeiro;Resende;rio_de_janeiro;-22.4705;-44.4509;Resende;0.0011348478552273191;1;1;0;0
SERRANO/rio_de_janeiro;Serrano;rio_de_janeiro;-22.52;-43.1926;Petrópolis;0.0011294521456251907;1;1;0;0
BOAVISTA/rio_de_janeiro;Boavista;rio_de_janeiro;-22.9292;-42.5099;Saquarema;0.0011279235108187036;1;1;0;0
CAUCAIA/ceara;Caucaia;ceara;-3.72797;-38.6619;Caucaia;0.0011255574570259493;0;2;2;2
CALDENSE/minas_gerais;Caldense;minas_gerais;-21.78;-46.5692;Poços de Caldas;0.0011200827443830993;1;1;0;0
CABOFRIENSE/rio_de_janeiro;Cabofriense;rio_de_janeiro;-22.8894;-42.0286;Cabo Frio;0.0011166969098404525;1;1;0;0
BELA VISTA/tocantins;Bela Vista;tocantins;-6.1219;-47.9211;Cachoeirinha;0.0011135512713906133;0;0;3;3
NACIONAL/amazonas;Nacional;amazonas;-3.11866;-60.0212;Manaus;0.0011113281456736424;0;0;1;1
HUMAITÁ/acre;Humaitá;acre;-9.58138;-67.5478;Porto Acre;0.0011090313214040884;0;0;1;1
UNIÃO RONDONÓPOLIS/mato_grosso;União Rondonópolis;mato_grosso;-16.4673;-54.6372;Rondonópolis;0.001108326268932186;1;1;0;0
ANAPOLINA/goias;Anapolina;goias;-16.3281;-48.953;Anápolis;0.0011055824687796866;1;1;0;0
RIO BRANCO/acre;Rio Branco;acre;-9.974;-67.8076;Rio Branco;0.0010995165664787867;0;0;1;1
ALECRIM/rio_grande_do_norte;Alecrim;rio_grande_do_norte;-5.79357;-35.1986;Natal;0.0010862888454212455;0;2;2;2
PORTO VITÓRIA/espirito_santo;Porto Vitória;espirito_santo;-20.3155;-40.3128;Vitória;0.0010789185150854915;1;1;0;0
CATANDUVA/sao_paulo;Catanduva;sao_paulo;-21.1314;-48.977;Catanduva;0.0010752615650394264;1;1;0;0
UNIVASSOURAS ARTSUL/rio_de_janeiro;Univassouras Artsul;rio_de_janeiro;-22.7556;-43.4603;Nova Iguaçu;0.0010742619779999965;1;1;0;0
GRÊMIO ANÁPOLIS/goias;Grêmio Anápolis;goias;-16.3281;-48.953;Anápolis;0.0010669240563573156;1;1;0;0
FALCON/sergipe;Falcon;sergipe;-10.9091;-37.0677;Aracaju;0.001065639154403423;0;2;2;2
BANGU/rio_de_janeiro;Bangu;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0010647581145276138;1;1;0;0
GOIANÉSIA/goias;Goianésia;goias;-15.3118;-49.1162;Goianésia;0.001057165816822888;1;1;0;0
VOCEM/sao_paulo;Vocem;sao_paulo;-22.6622;-50.4181;Assis;0.001055478074780131;1;1;0;0
BARRA/sergipe;Barra;sergipe;-10.91;-37.0317;Barra dos Coqueiros;0.0010540345573266134;0;2;2;2
CRUZEIRO/rio_grande_do_sul;Cruzeiro;rio_grande_do_sul;-29.95;-51.0833;Cachoeirinha;0.0010468709011752888;1;1;0;4
SÃO BORJA/rio_grande_do_sul;São Borja;rio_grande_do_sul;-28.6578;-56.0036;São Borja;0.0010437134026557407;1;1;0;4
CRAC/goias;Crac;goias;-18.1658;-47.9461;Catalão;0.0010426706144050627;1;1;0;0
PETROLINA/pernambuco;Petrolina;pernambuco;-9.38866;-40.5027;Petrolina;0.001042085154036952;0;2;2;2
IPORÁ/goias;Iporá;goias;-16.4398;-51.118;Iporá;0.0010351161782560646;1;1;0;0
NOROESTE/sao_paulo;Noroeste;sao_paulo;-22.3246;-49.0871;Bauru;0.0010327872919738642;1;1;0;0
IPATINGA/minas_gerais;Ipatinga;minas_gerais;-19.4703;-42.5476;Ipatinga;0.0010310148400319396;1;1;0;0
FRANCANA/sao_paulo;Francana;sao_paulo;-20.5352;-47.4039;Franca;0.001028607766609234;1;1;0;0
CSE/alagoas;Cse;alagoas;-9.40568;-36.6328;Palmeira dos Índios;0.0010278359298280322;0;2;2;2
RIO BRANCO DE VENDA NOVA/espirito_santo;Rio Branco De Venda Nova;espirito_santo;-20.327;-41.1355;Venda Nova do Imigrante;0.0010211089371922348;1;1;0;0
PACAJUS/ceara;Pacajus;ceara;-4.17107;-38.465;Pacajus;0.0010207045541293083;0;2;2;2
POTIGUAR/rio_grande_do_norte;Potiguar;rio_grande_do_norte;-5.18374;-37.3474;Mossoró;0.0010200795533113905;0;2;2;2
MARÍLIA/sao_paulo;Marília;sao_paulo;-22.2171;-49.9501;Marília;0.0010186604095281486;1;1;0;0
CAMETÁ/para;Cametá;para;-2.24295;-49.4979;Cametá;0.001013908563571134;0;0;3;3
MONTE AZUL/sao_paulo;Monte Azul;sao_paulo;-20.9065;-48.6387;Monte Azul Paulista;0.0010060872289804654;1;1;0;0
VELO CLUBE/sao_paulo;Velo Clube;sao_paulo;-22.4114;-47.5614;Rio Claro;0.0010007360468211519;1;1;0;0
COMERCIAL/mato_grosso_do_sul;Comercial;mato_grosso_do_sul;-20.7849;-51.7007;Três Lagoas;0.001000124055768575;1;1;0;0
OLÍMPICO/sergipe;Olímpico;sergipe;-11.2693;-37.7875;Itabaianinha;0.0009943008252477695;0;2;2;2
MAMORÉ/minas_gerais;Mamoré;minas_gerais;-18.5699;-46.5013;Patos de Minas;0.0009942170127268564;1;1;0;0
FLAMENGO/sao_paulo;Flamengo;sao_paulo;-23.4538;-46.5333;Guarulhos;0.000993429796585061;1;1;0;0
PAULISTA/sao_paulo;Paulista;sao_paulo;-23.1852;-46.8974;Jundiaí;0.0009916856993811242;1;1;0;0
CENTRO OESTE/goias;Centro Oeste;goias;-15.9333;-50.14;Goiás;0.0009881951118381603;1;1;0;0
AYMORÉS/minas_gerais;Aymorés;minas_gerais;-21.1206;-42.9422;Ubá;0.0009811981527603967;1;1;0;0
MACAPÁ/amapa;Macapá;amapa;0.034934;-51.0694;Macapá;0.000980201891897307;0;0;3;3
PARAGOMINAS/para;Paragominas;para;-3.00212;-47.3527;Paragominas;0.0009790907118782095;0;0;3;3
CA VOTUPORANGUENSE/sao_paulo;Ca Votuporanguense;sao_paulo;-20.4222;-49.9725;Votuporanga;0.0009773707840596679;1;1;0;0
PALMAS/tocantins;Palmas;tocantins;-10.1844;-48.3336;Palmas;0.000974828283144245;0;0;3;3
MONSOON/rio_grande_do_sul;Monsoon;rio_grande_do_sul;-29.75;-50.0167;Capão da Canoa;0.0009731533762723244;1;1;0;4
BRAGANTINO/para;Bragantino;para;-1.06126;-46.7826;Bragança;0.0009722083285549322;0;0;3;3
BONSUCESSO/rio_de_janeiro;Bonsucesso;rio_de_janeiro;-22.9129;-43.2003;Rio de Janeiro;0.0009705265640226931;1;1;0;0
BOA ESPORTE/minas_gerais;Boa Esporte;minas_gerais;-21.5556;-45.4364;Varginha;0.0009701930879450559;1;1;0;0
CAPIVARIANO/sao_paulo;Capivariano;sao_paulo;-22.9951;-47.5071;Capivari;0.0009687061326111568;1;1;0;0
UNIÃO BARBARENSE/sao_paulo;União Barbarense;sao_paulo;-23.5208;-46.1854;Mogi das Cruzes;0.0009589327174555447;1;1;0;0
AGUIA DE MARABA/para;Aguia De Maraba;para;-5.38075;-49.1327;Marabá;0.0009542912189041044;0;0;3;3
NACIONAL/sao_paulo;Nacional;sao_paulo;-23.5329;-46.6395;São Paulo;0.000950256575526468;1;1;0;0
PENAPOLENSE/sao_paulo;Penapolense;sao_paulo;-21.4148;-50.0769;Penápolis;0.000948372881603977;1;1;0;0
ITAPIRENSE/sao_paulo;Itapirense;sao_paulo;-22.4357;-46.8224;Itapira;0.0009453602657315169;1;1;0;0
INDEPENDENTE DE LIMEIRA/sao_paulo;Independente De Limeira;sao_paulo;-22.566;-47.397;Limeira;0.0009432701632682072;1;1;0;0
JI-PARANÁ/rondonia;Ji-Paraná;rondonia;-10.8777;-61.9322;Ji-Paraná;0.000942912606768345;0;0;1;1
GUARANI V. AIRES/rio_grande_do_sul;Guarani V. Aires;rio_grande_do_sul;-29.6103;-52.1906;Venâncio Aires;0.0009412850232531432;1;1;0;4
MURICI/alagoas;Murici;alagoas;-9.30682;-35.9428;Murici;0.0009386375818578988;0;2;2;2
REAL ARIQUEMES/rondonia;Real Ariquemes;rondonia;-9.90571;-63.0325;Ariquemes;0.0009380076554786519;0;0;1;1
GOYTACAZ/rio_de_janeiro;Goytacaz;rio_de_janeiro;-21.7622;-41.3181;Campos dos Goytacazes;0.0009353654101475111;1;1;0;0
DESPORTIVA FERROVIÁRIA/espirito_santo;Desportiva Ferroviária;espirito_santo;-20.3375;-40.3847;Cariacica;0.0009352862866238586;1;1;0;0
GOIÂNIA/goias;Goiânia;goias;-16.6864;-49.2643;Goiânia;0.0009332656893979444;1;1;0;0
TUPYNAMBÁS/minas_gerais;Tupynambás;minas_gerais;-21.7595;-43.3398;Juiz de Fora;0.000931477565580546;1;1;0;0
SÃO RAIMUNDO/para;São Raimundo;para;-2.43849;-54.6996;Santarém;0.0009309083911812965;0;0;3;3
SANTOS/amapa;Santos;amapa;0.034934;-51.0694;Macapá;0.0009303371429007293;0;0;3;3
CANAÃ/para;Canaã;para;-6.495;-49.8731;Canaã dos Carajás;0.0009266532689157831;0;0;3;3
INHUMAS/goias;Inhumas;goias;-16.3611;-49.5001;Inhumas;0.0009265448273933152;1;1;0;0
MAUÁ/sao_paulo;Mauá;sao_paulo;-23.6678;-46.4614;Mauá;0.0009264662437140566;1;1;0;0
SANTA CRUZ DE NATAL/rio_grande_do_norte;Santa Cruz De Natal;rio_grande_do_norte;-6.22475;-36.0193;Santa Cruz;0.0009240052019565488;0;2;2;2
GALVEZ/acre;Galvez;acre;-9.974;-67.8076;Rio Branco;0.0009189345623347853;0;0;1;1
VILLA NOVA/minas_gerais;Villa Nova;minas_gerais;-19.9758;-43.8509;Nova Lima;0.0009167479824945625;1;1;0;0
AZURIZ FUTEBOL/parana;Azuriz Futebol;parana;-26.2292;-52.6706;Pato Branco;0.0009164423606346051;1;1;0;4
