clube;uf;pagerank_score
Rio Negro;AM;0.0005338703054307
Carajás;PA;0.0005332953453435
Canindé;SE;0.0005325036510544
Guarulhos;SP;0.0005311188296103
Apucarana Sports;PR;0.0005308185314886
Tapajós;PA;0.000530174423591
Tupan;MA;0.0005300740908889
Cerrado;GO;0.0005299079828086
Náutico;RR;0.0005290962458107
Avenida;RS;0.0005287350255114
Esporte;PB;0.0005286578888045
Afogados;PE;0.000526219038617
Aruko;PR;0.000525154087021
Caac Brasil;RJ;0.000522961622265
Boquinhense;SE;0.0005224610533493
América;PE;0.0005205453682756
Atlético Carioca;RJ;0.0005191251005488
Batel;PR;0.000518475185656
Itararé;SP;0.0005181755182478
Tupã;SP;0.000518094534339
Atlhetic;MG;0.0005179128460161
Guarany De Bagé;RS;0.000517035626448
Ecus;SP;0.0005169612162328
Gavião Kyikatejê;PA;0.0005149027790263
Cáceres;MT;0.0005146730281769
Novoperário;MS;0.0005121858801223
Desportivo Aliança;AL;0.0005118492759785
Ceres;RJ;0.0005103349044798
Santa Maria;DF;0.00051013887487
Jaraguá;GO;0.0005099058141843
Comercial;PI;0.0005087257067017
Igrejinha;RS;0.0005086484535795
Atlético Catarinense;SC;0.0005084701150013
Inter De Minas;MG;0.0005082430481757
São Paulo;AP;0.0005064897862318
Prudentópolis;PR;0.0005060785276592
Sapucaiense;RS;0.0005038206691226
Jaguaré;ES;0.0005028037564489
Araruama;RJ;0.0005024783924653
Amparo;SP;0.0005012162169815
Princesa Do Solimões;AM;0.0005001921217673
Primavera;MT;0.0004988249749427
Uruaçu;GO;0.0004981343489227
Ff Sport;AL;0.0004977170918536
Portuguesa;AP;0.0004973978630539
Concordia Atlético Clube;SC;0.0004971081408424
Bom Jesus;GO;0.0004968863844333
Petrópolis;RJ;0.0004956841098882
Genus;RO;0.0004952642951213
Vilhenense;RO;0.0004948554785313
Nacional Uberaba;MG;0.0004948539122028
Poços De Caldas;MG;0.0004944159541208
Vera Cruz;RJ;0.0004937832670754
Porto Velho;RO;0.0004917195344471
Cristal;AP;0.0004909625058287
Fluminense De Joinville;SC;0.0004888272933875
Quixadá;CE;0.000488642835512
Queimadense;PB;0.0004872348656342
Crateús;CE;0.0004868208761013
Batatais;SP;0.0004865856045556
Desportiva Aracaju;SE;0.0004862624696525
Tigres Do Brasil;RJ;0.0004801498766262
Unaí;MG;0.0004786391965864
Sete De Setembro;PE;0.0004785314690699
Pinheiros;ES;0.000477294154687
Atlético Patrocinense;MG;0.0004763585538825
Baré;RR;0.0004754033614531
Sparta;TO;0.0004732281931355
Chapadinha;MA;0.0004719296984671
Grêmio Pague Menos;CE;0.0004705269382622
At. Itapemirim;ES;0.0004669583693415
Araucária;PR;0.000466514398923
Barra Mansa;RJ;0.0004664504777346
Verê;PR;0.0004660567766128
Viana;MA;0.0004657897692404
Jaguar;PE;0.0004642068369806
Atlético Roraima;RR;0.0004636703757755
Boca Júnior;SE;0.000463357687137
União Central;RJ;0.0004627243813713
Unirb;BA;0.0004617283113293
São José;AP;0.0004612684688553
Pedreira;PA;0.0004595598506121
Alvorada;AM;0.0004589930112033
Socorrense;SE;0.0004583947893848
Mageense;RJ;0.0004578887620298
Luminense;MA;0.0004570681711648
Rolândia;PR;0.000456930231831
Tirol;CE;0.0004540978929997
Picuiense;PB;0.0004531831471695
Santana;AP;0.0004495331348729
Boston City Brasil;MG;0.0004494158604046
Cliper;AM;0.0004481074438848
Sport Belém;PA;0.0004476307414781
Riopardense;RS;0.0004473328018227
Visão Celeste;RN;0.0004470002061552
Mazagão;AP;0.0004437850724643
Próspera;SC;0.0004420290573081
Paraense;PA;0.0004420154645509
Amadense;SE;0.0004419997359405
União Atlético Clube;TO;0.000441815133505
Novo Horizonte;RS;0.0004391203563678
Grêmio Maringá;PR;0.0004373041224532
Glória;RS;0.0004352609853472
Galo Maringá;PR;0.0004345457296706
Nova Conquista;TO;0.0004326290712687
Garibaldi;RS;0.0004305674305029
Guarany;CE;0.0004284234141918
Vila Rica;PA;0.0004263357876077
Sport Atibaia;SP;0.0004246232996177
Santarritense;MG;0.0004229388691945
Assisense;SP;0.0004215841254571
Portuguesa;MS;0.0004212071766171
Osvaldo Cruz;SP;0.0004192058098708
Jacobinense;BA;0.0004185133340322
Rio Grande;RN;0.0004154994667792
Araguaia;MT;0.0004154534758763
União Mogi;SP;0.0004132732058972
União Beltrão;PR;0.0004127688269282
Grêmio S23;RS;0.0004121211502117
Pombal;PB;0.0004118962829408
Olímpia;SP;0.0004118425532987
Red Bull Brasil;SP;0.0004106869851626
Vasco Da Gama;AC;0.0004096655275319
Palmeira De Goianinha;RN;0.000406329595018
Botafogo;BA;0.0004062781873055
Operário Ceov;MT;0.0004040317187499
Igaci;AL;0.0004032828149224
Spartax;PB;0.0004020803208332
Cte Colatina;ES;0.0004018001810163
Santa Cruz Riachuelo;SE;0.0003994916480474
Barcelona;RJ;0.0003994599252597
São Luís;MA;0.0003993966762212
Iraty;PR;0.0003966091450014
Belo Jardim;PE;0.000394978337028
Farroupilha;RS;0.0003947749375468
Dimensão Saúde;AL;0.0003946436281611
Legião;DF;0.0003937754898863
