rodada,mandante,estado_m,visitante,estado_v
15,AMAZONAS,amazonas,PAYSANDU,para
15,FLORESTA,ceara,MARINGÁ,parana
15,GUARANI,sao_paulo,INTER DE LIMEIRA,sao_paulo
16,FIGUEIRENSE,santa_catarina,FERROVIÁRIA,sao_paulo
16,BOTAFOGO,paraiba,SANTA CRUZ,pernambuco
16,INTER DE LIMEIRA,sao_paulo,VOLTA REDONDA,rio_de_janeiro
16,ITUANO,sao_paulo,BARRA,santa_catarina
16,MARINGÁ,parana,AMAZONAS,amazonas
16,YPIRANGA,rio_grande_do_sul,FLORESTA,ceara
16,ITABAIANA,sergipe,CAXIAS,rio_grande_do_sul
16,MARANHÃO,maranhao,BRUSQUE,santa_catarina
16,ANÁPOLIS,goias,GUARANI,sao_paulo
16,PAYSANDU,para,CONFIANÇA,sergipe
17,VOLTA REDONDA,rio_de_janeiro,ITUANO,sao_paulo
17,AMAZONAS,amazonas,BOTAFOGO,paraiba
17,BRUSQUE,santa_catarina,INTER DE LIMEIRA,sao_paulo
17,SANTA CRUZ,pernambuco,MARANHÃO,maranhao
17,CONFIANÇA,sergipe,MARINGÁ,parana
17,CAXIAS,rio_grande_do_sul,FIGUEIRENSE,santa_catarina
17,BARRA,santa_catarina,ITABAIANA,sergipe
17,FLORESTA,ceara,ANÁPOLIS,goias
17,FERROVIÁRIA,sao_paulo,PAYSANDU,para
17,GUARANI,sao_paulo,YPIRANGA,rio_grande_do_sul
18,VOLTA REDONDA,rio_de_janeiro,FLORESTA,ceara
18,ITUANO,sao_paulo,PAYSANDU,para
18,BOTAFOGO,paraiba,GUARANI,sao_paulo
18,SANTA CRUZ,pernambuco,CAXIAS,rio_grande_do_sul
18,BRUSQUE,santa_catarina,AMAZONAS,amazonas
18,CONFIANÇA,sergipe,ANÁPOLIS,goias
18,MARINGÁ,parana,BARRA,santa_catarina
18,INTER DE LIMEIRA,sao_paulo,FIGUEIRENSE,santa_catarina
18,YPIRANGA,rio_grande_do_sul,FERROVIÁRIA,sao_paulo
18,MARANHÃO,maranhao,ITABAIANA,sergipe
19,FERROVIÁRIA,sao_paulo,CONFIANÇA,sergipe
19,GUARANI,sao_paulo,BRUSQUE,santa_catarina
19,FIGUEIRENSE,santa_catarina,MARANHÃO,maranhao
19,ITABAIANA,sergipe,BOTAFOGO,paraiba
19,FLORESTA,ceara,ITUANO,sao_paulo
19,ANÁPOLIS,goias,SANTA CRUZ,pernambuco
19,CAXIAS,rio_grande_do_sul,INTER DE LIMEIRA,sao_paulo
19,BARRA,santa_catarina,VOLTA REDONDA,rio_de_janeiro
19,PAYSANDU,para,MARINGÁ,parana
19,AMAZONAS,amazonas,YPIRANGA,rio_grande_do_sul
