rodada,grupo,mandante,visitante
10,A6,SAMPAIO CORRÊA,IGUATU
10,A6,PARNAHYBA,MOTO CLUB
10,A7,FERROVIÁRIO,FLUMINENSE
10,A7,PIAUÍ,TIROL
10,A7,ALTOS,ATLÉTICO CEARENSE
10,A8,CENTRAL,LAGUNA
10,A8,SOUSA,AMÉRICA
10,A8,ABC,MAGUARY
10,A9,LAGARTO,DECISÃO
10,A9,RETRÔ,TREZE
10,A9,SERGIPE,SERRA BRANCA
